OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
SURVEYOR 7,1968-001A,3091,PAY,D,US,1968-01-07,AFETR,1968-01-10,,,,,,NIE,MO,LAN
ATLAS CENTAUR R/B,1968-001B,3092,R/B,,US,1968-01-07,AFETR,,,,,,,NEA,EM,ORB
EXPLORER 36 (GEOS 2),1968-002A,3093,PAY,,US,1968-01-11,AFWTR,,112.18,105.78,1573,1081,1.4615,,EA,ORB
DELTA 1 R/B,1968-002B,3094,R/B,,US,1968-01-11,AFWTR,,112.04,105.81,1562,1079,0.5056,,EA,ORB
SL-3 R/B,1968-003B,3096,R/B,D,CIS,1968-01-16,PLMSC,1968-01-25,87.49,65.62,166,135,,,EA,IMP
OPS 1965,1968-004A,3097,PAY,D,US,1968-01-17,AFWTR,1970-07-07,88.27,75.12,197,181,,,EA,IMP
OPS 5028,1968-005A,3098,PAY,D,US,1968-01-18,AFWTR,1968-02-04,89.53,111.49,371,132,,,EA,IMP
COSMOS 199,1968-003A,3099,PAY,D,CIS,1968-01-16,PLMSC,1968-02-01,87.93,65.60,190,154,,,EA,IMP
COSMOS 200,1968-006A,3100,PAY,D,CIS,1968-01-19,PLMSC,1973-02-24,87.86,73.97,169,169,,,EA,IMP
OPS 1965 DEB,1968-004B,3101,DEB,D,US,1968-01-17,AFWTR,1968-03-29,91.53,75.10,367,332,,,EA,IMP
SL-8 R/B,1968-006B,3102,R/B,D,CIS,1968-01-19,PLMSC,1972-02-04,87.65,73.95,172,145,,,EA,IMP
SL-8 DEB,1968-006C,3103,DEB,D,CIS,1968-01-19,PLMSC,1980-09-30,89.03,73.96,231,222,0.2063,,EA,IMP
SL-8 DEB,1968-006D,3104,DEB,D,CIS,1968-01-19,PLMSC,1968-04-06,92.26,74.03,388,383,,,EA,IMP
APOLLO 5 LM APS,1968-007A,3106,PAY,D,US,1968-01-22,AFETR,1968-01-24,88.30,31.61,222,158,,,EA,IMP
APOLLO 5 LM DPS,1968-007B,3107,PAY,D,US,1968-01-22,AFETR,1968-02-12,88.17,31.63,222,146,,,EA,IMP
SATURN 1 R/B,1968-007C,3108,R/B,D,US,1968-01-22,AFETR,1968-01-23,,,,,,,EA,IMP
SL-8 DEB,1968-006E,3109,DEB,D,CIS,1968-01-19,PLMSC,1968-04-11,89.46,73.94,271,225,,,EA,IMP
SL-8 DEB,1968-006F,3110,DEB,D,CIS,1968-01-19,PLMSC,1968-06-16,91.80,73.87,381,345,,,EA,IMP
SL-8 DEB,1968-006G,3111,DEB,D,CIS,1968-01-19,PLMSC,1968-04-15,89.14,73.92,235,228,,,EA,IMP
SL-8 DEB,1968-006H,3112,DEB,D,CIS,1968-01-19,PLMSC,1968-06-16,91.80,74.02,368,358,,,EA,IMP
OPS 2243,1968-008A,3113,PAY,D,US,1968-01-24,AFWTR,1968-02-27,88.38,81.47,233,156,,,EA,IMP
OPS 6236,1968-008B,3114,PAY,D,US,1968-01-24,AFWTR,1970-03-04,88.20,81.61,186,185,,,EA,IMP
SL-3 DEB,1968-003C,3115,DEB,D,CIS,1968-01-16,PLMSC,1968-01-30,88.37,65.67,243,145,,,EA,IMP
OPS 1965 DEB,1968-004C,3116,DEB,D,US,1968-01-17,AFWTR,1968-03-22,90.81,75.23,321,308,,,EA,IMP
SL-3 DEB,1968-003D,3117,DEB,D,CIS,1968-01-16,PLMSC,1968-02-03,88.91,65.59,282,159,,,EA,IMP
COSMOS 201,1968-009A,3118,PAY,D,CIS,1968-02-06,TYMSC,1968-02-14,89.79,64.94,327,202,,,EA,IMP
SL-3 R/B,1968-009B,3119,R/B,D,CIS,1968-02-06,TYMSC,1968-02-13,88.15,64.94,200,166,,,EA,IMP
OPS 2243-6236 DEB,1968-008C,3120,DEB,D,US,1968-01-24,AFWTR,1968-02-12,88.99,81.46,275,174,,,EA,IMP
DELTA 1 DEB,1968-002C,3126,DEB,,US,1968-01-11,AFWTR,,112.28,106.07,1579,1084,0.0568,,EA,ORB
DELTA 1 DEB,1968-002D,3127,DEB,,US,1968-01-11,AFWTR,,112.07,105.33,1569,1074,0.0571,,EA,ORB
COSMOS 202,1968-010A,3128,PAY,D,CIS,1968-02-20,KYMSC,1968-03-24,87.62,48.44,165,148,,,EA,IMP
COSMOS 203,1968-011A,3129,PAY,,CIS,1968-02-20,PLMSC,,109.23,74.05,1200,1182,1.9290,,EA,ORB
SL-7 R/B,1968-010B,3130,R/B,D,CIS,1968-02-20,KYMSC,1968-03-04,88.94,48.44,272,172,,,EA,IMP
SL-8 R/B,1968-011B,3131,R/B,,CIS,1968-02-20,PLMSC,,109.25,74.05,1203,1181,4.3567,,EA,ORB
OPS 7034 (TRANSIT 18),1968-012A,3133,PAY,,US,1968-03-02,AFWTR,,106.54,90.02,1122,1011,0.9662,,EA,ORB
