OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 104,1966-001A,1903,PAY,D,CIS,1966-01-07,TYMSC,1966-01-15,,,,,,,EA,IMP
SL-3 R/B,1966-001B,1904,R/B,D,CIS,1966-01-07,TYMSC,1966-01-24,,,,,,,EA,IMP
SL-3 DEB,1966-001C,1905,DEB,D,CIS,1966-01-07,TYMSC,1966-01-12,,,,,,,EA,IMP
OPS 7253,1966-002A,1939,PAY,D,US,1966-01-19,AFWTR,1966-01-25,88.45,93.88,258,137,,,EA,IMP
OPS 3179,1966-002B,1940,PAY,D,US,1966-01-19,AFWTR,1966-01-23,88.46,93.89,245,152,,,EA,IMP
COSMOS 105,1966-003A,1945,PAY,D,CIS,1966-01-22,TYMSC,1966-01-30,,,,,,,EA,IMP
SL-3 R/B,1966-003B,1946,R/B,D,CIS,1966-01-22,TYMSC,1966-02-10,88.14,65.02,194,171,,,EA,IMP
SL-3 DEB,1966-003C,1947,DEB,D,CIS,1966-01-22,TYMSC,1966-01-24,,,,,,,EA,IMP
COSMOS 106,1966-004A,1949,PAY,D,CIS,1966-01-25,KYMSC,1966-11-14,87.97,48.37,174,174,,,EA,IMP
SL-7 R/B,1966-004B,1950,R/B,D,CIS,1966-01-25,KYMSC,1966-07-16,88.36,48.36,216,171,,,EA,IMP
OPS 1593 (TRANSIT 11),1966-005A,1952,PAY,,US,1966-01-28,AFWTR,,105.25,90.15,1167,846,1.3256,,EA,ORB
SCOUT A R/B,1966-005B,1953,R/B,,US,1966-01-28,AFWTR,,105.49,90.15,1185,850,0.5660,,EA,ORB
LUNA 9,1966-006A,1954,PAY,D,CIS,1966-01-31,TYMSC,1966-02-03,,,,,,NIE,MO,IMP
SL-6 PLAT,1966-006B,1955,DEB,D,CIS,1966-01-31,TYMSC,1966-02-02,88.36,51.85,218,168,,,EA,IMP
SL-6 R/B(1),1966-006C,1966,R/B,D,CIS,1966-01-31,TYMSC,1966-01-31,,,,,,,EA,IMP
OPS 7291,1966-007A,1968,PAY,D,US,1966-02-02,AFWTR,1966-02-27,89.46,75.03,311,184,,,EA,IMP
ESSA 1 (OT-3),1966-008A,1982,PAY,-,US,1966-02-03,AFETR,,99.42,97.81,787,675,0.6705,,EA,ORB
DELTA 1 R/B,1966-008B,1983,R/B,,US,1966-02-03,AFETR,,98.04,98.03,709,621,0.5720,,EA,ORB
OPS 1439,1966-009A,1997,PAY,D,US,1966-02-09,AFWTR,1969-09-26,88.49,82.06,200,200,0.3100,,EA,IMP
COSMOS 107,1966-010A,1998,PAY,D,CIS,1966-02-10,TYMSC,1966-02-18,89.61,64.97,307,204,,,EA,IMP
SL-3 R/B,1966-010B,2000,R/B,D,CIS,1966-02-10,TYMSC,1966-02-28,89.08,64.98,249,209,,,EA,IMP
SL-6 R/B(2),1966-006D,2001,R/B,,CIS,1966-01-31,TYMSC,,,,,,0.0051,NEA,EM,ORB
COSMOS 108,1966-011A,2002,PAY,D,CIS,1966-02-11,KYMSC,1966-11-21,87.88,48.82,193,146,,,EA,IMP
OPS 1439 DEB,1966-009B,2003,DEB,D,US,1966-02-09,AFWTR,1966-11-18,89.85,82.01,276,259,,,EA,IMP
OPS 1439 DEB,1966-009C,2004,DEB,D,US,1966-02-09,AFWTR,1966-11-18,89.76,82.04,273,253,1.0700,,EA,IMP
SL-3 DEB,1966-010C,2005,DEB,D,CIS,1966-02-10,TYMSC,1966-02-12,89.19,64.98,341,128,,,EA,IMP
SL-3 DEB,1966-010D,2006,DEB,D,CIS,1966-02-10,TYMSC,1966-02-12,89.29,64.98,351,128,,,EA,IMP
SL-7 R/B,1966-011B,2007,R/B,D,CIS,1966-02-11,KYMSC,1966-06-01,95.08,48.85,824,221,,,EA,IMP
SL-7 DEB,1966-011C,2008,DEB,D,CIS,1966-02-11,KYMSC,1966-03-27,95.04,48.86,825,216,,,EA,IMP
OPS 1184,1966-012A,2012,PAY,D,US,1966-02-15,AFWTR,1966-02-22,88.45,96.35,248,148,,,EA,IMP
OPS 3011 [CYLINDER],1966-012B,2014,PAY,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 [SPHERE],1966-012C,2015,PAY,D,US,1966-02-15,AFWTR,1966-02-22,,,,,,,EA,IMP
DIAPASON (D1-A),1966-013A,2016,PAY,,FR,1966-02-17,HGSTR,,113.69,34.09,2294,497,1.2371,,EA,ORB
DIAMANT R/B,1966-013B,2017,R/B,,FR,1966-02-17,HGSTR,,111.30,34.07,2080,493,0.7269,,EA,ORB
DIAMANT DEB,1966-013C,2018,DEB,D,FR,1966-02-17,HGSTR,1967-12-04,94.49,34.11,555,433,,,EA,IMP
COSMOS 109,1966-014A,2019,PAY,D,CIS,1966-02-19,TYMSC,1966-02-27,89.42,64.93,287,204,,,EA,IMP
DIAMANT DEB,1966-013D,2020,DEB,D,FR,1966-02-17,HGSTR,1967-09-11,95.34,34.04,693,377,,,EA,IMP
DIAMANT DEB,1966-013E,2021,DEB,D,FR,1966-02-17,HGSTR,1967-08-25,91.57,34.09,435,268,,,EA,IMP
SL-3 R/B,1966-014B,2022,R/B,D,CIS,1966-02-19,TYMSC,1966-02-27,89.05,64.95,257,198,,,EA,IMP
DIAMANT DEB,1966-013F,2023,DEB,D,FR,1966-02-17,HGSTR,1991-07-16,90.57,34.02,325,280,0.1095,,EA,IMP
SL-3 DEB,1966-014C,2024,DEB,D,CIS,1966-02-19,TYMSC,1966-02-21,,,,,,,EA,IMP
OPS 3031 DEB,1966-012D,2025,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012E,2026,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012F,2027,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012G,2028,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012H,2029,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012J,2030,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012K,2031,DEB,D,US,1966-02-15,AFWTR,1966-02-20,,,,,,,EA,IMP
OPS 3031 DEB,1966-012L,2032,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012M,2033,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012N,2034,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012P,2035,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012Q,2036,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012R,2037,DEB,D,US,1966-02-15,AFWTR,1966-02-20,,,,,,,EA,IMP
OPS 3031 DEB,1966-012S,2038,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012T,2039,DEB,D,US,1966-02-15,AFWTR,1966-02-16,,,,,,,EA,IMP
OPS 3031 DEB,1966-012U,2040,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012V,2056,DEB,D,US,1966-02-15,AFWTR,1966-02-20,,,,,,,EA,IMP
OPS 3031 DEB,1966-012W,2057,DEB,D,US,1966-02-15,AFWTR,1966-02-21,,,,,,,EA,IMP
OPS 3031 DEB,1966-012X,2058,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012Y,2059,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012Z,2060,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AA,2061,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AB,2062,DEB,D,US,1966-02-15,AFWTR,1966-02-22,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AC,2063,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AD,2064,DEB,D,US,1966-02-15,AFWTR,1966-02-22,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AE,2065,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AF,2066,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AG,2067,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AH,2068,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AJ,2069,DEB,D,US,1966-02-15,AFWTR,1966-02-20,,,,,,,EA,IMP
COSMOS 110,1966-015A,2070,PAY,D,CIS,1966-02-22,TYMSC,1966-03-16,95.36,51.85,879,192,,,EA,IMP
SL-4 R/B,1966-015B,2071,R/B,D,CIS,1966-02-22,TYMSC,1966-04-29,95.27,51.83,878,186,,,EA,IMP
OPS 3031 DEB,1966-012AK,2072,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AL,2073,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AM,2074,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AN,2075,DEB,D,US,1966-02-15,AFWTR,1966-02-17,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AP,2076,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AQ,2077,DEB,D,US,1966-02-15,AFWTR,1966-02-18,,,,,,,EA,IMP
OPS 3031 DEB,1966-012AR,2078,DEB,D,US,1966-02-15,AFWTR,1966-02-19,,,,,,,EA,IMP
DELTA 1 DEB,1966-008C,2085,DEB,D,US,1966-02-03,AFETR,2002-08-28,88.33,97.65,205,179,0.0538,,EA,IMP
SL-4 DEB,1966-015C,2089,DEB,D,CIS,1966-02-22,TYMSC,1966-03-05,,,,,,,EA,IMP
SL-4 DEB,1966-015D,2090,DEB,D,CIS,1966-02-22,TYMSC,1966-03-05,,,,,,,EA,IMP
ESSA 2 (OT-2),1966-016A,2091,PAY,-,US,1966-02-28,AFETR,,113.44,101.22,1415,1354,0.7650,,EA,ORB
COSMOS 111,1966-017A,2093,PAY,D,CIS,1966-03-01,TYMSC,1966-03-03,,,,,,,EA,IMP
