OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1987 [GLONASS],1989-001A,19749,PAY,-,CIS,1989-01-10,TYMSC,,675.82,64.97,19144,19120,1.8828,,EA,ORB
COSMOS 1988 [GLONASS],1989-001B,19750,PAY,-,CIS,1989-01-10,TYMSC,,675.73,64.99,19168,19092,3.1698,,EA,ORB
COSMOS 1989 (ETALON 1),1989-001C,19751,PAY,+,CIS,1989-01-10,TYMSC,,675.56,64.99,19185,19066,1.2589,,EA,ORB
SL-12 R/B(1),1989-001D,19752,R/B,D,CIS,1989-01-10,TYMSC,1989-01-10,,,,,,,EA,IMP
SL-12 DEB,1989-001E,19753,DEB,,CIS,1989-01-10,TYMSC,,675.55,64.98,19187,19063,0.2620,,EA,ORB
SL-12 R/B(2),1989-001F,19754,R/B,,CIS,1989-01-10,TYMSC,,674.72,65.01,19144,19065,1.5170,,EA,ORB
SL-12 R/B(AUX MOTOR),1989-001G,19755,R/B,,CIS,1989-01-10,TYMSC,,338.34,65.26,18645,767,0.6450,,EA,ORB
COSMOS 1990,1989-002A,19756,PAY,D,CIS,1989-01-12,PLMSC,1989-02-11,89.10,82.56,288,173,28.4000,,EA,IMP
SL-4 R/B,1989-002B,19757,R/B,D,CIS,1989-01-12,PLMSC,1989-01-14,,,,,35.6000,,EA,IMP
COSMOS 1991,1989-003A,19758,PAY,D,CIS,1989-01-18,TYMSC,1989-02-01,92.16,69.98,413,348,29.1700,,EA,IMP
SL-4 R/B,1989-003B,19759,R/B,D,CIS,1989-01-18,TYMSC,1989-01-27,88.26,69.96,215,161,35.7000,,EA,IMP
SL-4 DEB,1989-003C,19760,DEB,D,CIS,1989-01-18,TYMSC,1989-01-20,90.03,70.01,354,197,0.1000,,EA,IMP
SL-4 DEB,1989-003D,19761,DEB,D,CIS,1989-01-18,TYMSC,1989-01-19,90.08,69.96,357,200,0.0900,,EA,IMP
SL-4 DEB,1989-003E,19762,DEB,D,CIS,1989-01-18,TYMSC,1989-01-20,89.14,70.00,279,185,,,EA,IMP
GORIZONT 17,1989-004A,19765,PAY,-,CIS,1989-01-26,TYMSC,,1453.55,12.20,36211,36044,5.3548,,EA,ORB
SL-12 R/B(1),1989-004B,19766,R/B,D,CIS,1989-01-26,TYMSC,1989-01-28,88.18,51.63,189,180,,,EA,IMP
