OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 2230,1993-001A,22307,PAY,,CIS,1993-01-12,PLMSC,,104.81,82.94,1003,968,1.4391,,EA,ORB
SL-8 R/B,1993-001B,22308,R/B,,CIS,1993-01-12,PLMSC,,104.65,82.94,995,961,4.3650,,EA,ORB
MOLNIYA 1-85,1993-002A,22309,PAY,D,CIS,1993-01-13,PLMSC,2005-11-15,91.36,61.96,617,66,18.8271,,EA,IMP
SL-6 R/B(1),1993-002B,22310,R/B,D,CIS,1993-01-13,PLMSC,1993-03-04,87.49,62.81,167,134,32.6600,,EA,IMP
SL-6 PLAT,1993-002C,22311,DEB,D,CIS,1993-01-13,PLMSC,1993-02-05,87.88,62.79,205,134,2.7700,,EA,IMP
SL-6 R/B(2),1993-002D,22312,R/B,D,CIS,1993-01-13,PLMSC,2006-04-04,90.24,62.15,492,80,7.4000,,EA,IMP
STS 54,1993-003A,22313,PAY,D,US,1993-01-13,AFETR,1993-01-19,90.58,28.47,312,294,43.0000,,EA,LAN
TDRS 6,1993-003B,22314,PAY,+,US,1993-01-13,AFETR,,1436.18,14.18,35831,35746,28.6701,,EA,ORB
IUS R/B(1),1993-003C,22315,R/B,,US,1993-01-13,AFETR,,356.82,26.85,20306,267,10.7444,,EA,ORB
IUS R/B(2),1993-003D,22316,R/B,,US,1993-01-13,AFETR,,1438.49,11.82,36119,35548,3.9810,,EA,ORB
COSMOS 2231,1993-004A,22317,PAY,D,CIS,1993-01-19,PLMSC,1993-03-25,89.19,67.10,303,165,12.0500,,EA,IMP
SL-4 R/B,1993-004B,22318,R/B,D,CIS,1993-01-19,PLMSC,1993-01-23,87.66,67.12,185,132,17.0400,,EA,IMP
SOYUZ-TM 16,1993-005A,22319,PAY,D,CIS,1993-01-24,TYMSC,1993-07-22,92.38,51.62,394,388,0.3100,,EA,LAN
SL-4 R/B,1993-005B,22320,R/B,D,CIS,1993-01-24,TYMSC,1993-01-26,87.56,51.62,158,150,,,EA,IMP
COSMOS 2232,1993-006A,22321,PAY,,CIS,1993-01-26,PLMSC,,718.49,67.23,34445,5945,17.6477,,EA,ORB
SL-6 R/B(1),1993-006B,22322,R/B,D,CIS,1993-01-26,PLMSC,1993-03-09,87.55,62.77,169,137,12.9000,,EA,IMP
SL-6 PLAT,1993-006C,22323,DEB,D,CIS,1993-01-26,PLMSC,1993-02-14,87.76,62.81,194,133,2.1000,,EA,IMP
SL-6 R/B(2),1993-006D,22324,R/B,,CIS,1993-01-26,PLMSC,,706.81,68.22,32978,6834,6.5800,,EA,ORB
SL-6 DEB,1993-006E,22325,DEB,D,CIS,1993-01-26,PLMSC,1993-02-28,88.45,62.80,263,133,0.0100,,EA,IMP
NAVSTAR 30 (USA 88),1993-007A,22446,PAY,-,US,1993-02-03,AFETR,,765.57,53.24,21419,21268,2.5118,,EA,ORB
DELTA 2 R/B(1),1993-007B,22447,R/B,D,US,1993-02-03,AFETR,2023-12-22,87.93,20.79,193,151,9.1350,,EA,IMP
DELTA 2 R/B(2) [PAM-D],1993-007C,22448,R/B,D,US,1993-02-03,AFETR,2002-09-11,87.66,34.58,183,134,3.1748,,EA,IMP
COSMOS 2233,1993-008A,22487,PAY,,CIS,1993-02-09,PLMSC,,104.65,82.95,1005,951,2.0074,,EA,ORB
SL-8 R/B,1993-008B,22488,R/B,,CIS,1993-02-09,PLMSC,,104.50,82.94,989,953,3.9120,,EA,ORB
OXP 1,1993-009A,22489,PAY,,US,1993-02-09,AFETR,,99.51,24.96,763,707,1.8542,,EA,ORB
SCD 1,1993-009B,22490,PAY,P,BRAZ,1993-02-09,AFETR,,99.58,24.97,768,708,0.8234,,EA,ORB
PEGASUS R/B,1993-009C,22491,R/B,,US,1993-02-09,AFETR,,98.76,24.98,731,668,0.1658,,EA,ORB
