OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 390,1971-001A,4845,PAY,D,CIS,1971-01-12,TYMSC,1971-01-25,89.07,65.02,258,199,,,EA,IMP
SL-4 R/B,1971-001B,4846,R/B,D,CIS,1971-01-12,TYMSC,1971-01-17,87.74,65.03,163,162,,,EA,IMP
COSMOS 391,1971-002A,4847,PAY,D,CIS,1971-01-14,PLMSC,1972-02-21,87.93,70.88,188,156,,,EA,IMP
SL-7 R/B,1971-002B,4848,R/B,D,CIS,1971-01-14,PLMSC,1971-08-21,87.97,70.87,174,174,,,EA,IMP
METEOR 1-7,1971-003A,4849,PAY,D,CIS,1971-01-20,PLMSC,2005-06-14,87.35,81.18,152,135,5.9943,,EA,IMP
SL-3 R/B,1971-003B,4850,R/B,D,CIS,1971-01-20,PLMSC,2002-10-18,86.88,81.14,130,109,11.5069,,EA,IMP
COSMOS 392,1971-004A,4872,PAY,D,CIS,1971-01-21,TYMSC,1971-02-02,89.15,64.98,267,198,,,EA,IMP
SL-4 R/B,1971-004B,4873,R/B,D,CIS,1971-01-21,TYMSC,1971-01-26,87.89,65.00,177,163,,,EA,IMP
OPS 7776,1971-005A,4874,PAY,D,US,1971-01-21,AFWTR,1971-02-09,89.77,110.80,396,131,,,EA,IMP
OPS 7776 DEB,1971-005B,4875,DEB,D,US,1971-01-21,AFWTR,1971-01-22,89.78,110.73,366,161,,,EA,IMP
COSMOS 390 DEB,1971-001C,4878,DEB,D,CIS,1971-01-12,TYMSC,1971-02-01,88.16,64.96,194,173,,,EA,IMP
COSMOS 390 DEB,1971-001D,4879,DEB,D,CIS,1971-01-12,TYMSC,1971-01-27,88.96,65.00,238,208,,,EA,IMP
INTELSAT 4-F2,1971-006A,4881,PAY,-,ITSO,1971-01-26,AFETR,,1456.97,4.18,36243,36146,9.7537,,EA,ORB
ATLAS CENTAUR R/B,1971-006B,4882,R/B,,US,1971-01-26,AFETR,,652.28,27.49,36431,642,15.1633,,EA,ORB
COSMOS 390 DEB,1971-001E,4883,DEB,D,CIS,1971-01-12,TYMSC,1971-01-27,88.95,65.04,260,185,,,EA,IMP
COSMOS 393,1971-007A,4884,PAY,D,CIS,1971-01-26,PLMSC,1971-06-16,89.27,71.02,269,207,,,EA,IMP
SL-7 R/B,1971-007B,4885,R/B,D,CIS,1971-01-26,PLMSC,1971-03-31,87.75,71.00,163,163,,,EA,IMP
COSMOS 390 DEB,1971-001F,4886,DEB,D,CIS,1971-01-12,TYMSC,1971-01-27,,,,,,,EA,IMP
APOLLO 14 CM,1971-008A,4900,PAY,D,US,1971-01-31,AFETR,1971-02-09,,,,,,NIE,EA,LAN
NATO 2B,1971-009A,4902,PAY,-,NATO,1971-02-03,AFETR,,1436.10,1.00,35801,35772,1.8141,,EA,ORB
DELTA 1 R/B,1971-009B,4903,R/B,,US,1971-02-03,AFETR,,337.43,25.63,19015,339,1.7682,,EA,ORB
SATURN 5 R/B,1971-008B,4904,R/B,D,US,1971-01-31,AFETR,1971-02-04,,,,,,NIE,MO,IMP
APOLLO 14 LM,1971-008C,4905,PAY,D,US,1971-01-31,AFETR,1971-02-07,,,,,,NIE,MO,IMP
OPS 7776 DEB,1971-005C,4909,DEB,D,US,1971-01-21,AFWTR,1971-02-09,,,,,,,EA,IMP
COSMOS 394,1971-010A,4922,PAY,,CIS,1971-02-09,PLMSC,,92.95,65.82,425,413,1.2405,,EA,ORB
SL-11 R/B,1971-010B,4923,R/B,D,CIS,1971-02-09,PLMSC,1984-03-21,87.55,65.78,160,146,13.8963,,EA,IMP
SL-11 DEB,1971-010C,4927,DEB,D,CIS,1971-02-09,PLMSC,1981-04-18,88.97,65.79,234,213,0.1486,,EA,IMP
