OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
SAMOS 2,1961-001A,70,PAY,D,US,1961-01-31,AFWTR,1973-10-21,88.09,97.22,185,175,,,EA,IMP
SPUTNIK 7,1961-002A,71,PAY,D,CIS,1961-02-04,TYMSC,1961-02-26,89.26,64.90,296,180,,,EA,IMP
SL-6 R/B,1961-002B,72,R/B,D,CIS,1961-02-04,TYMSC,1961-02-13,88.87,64.90,228,209,,,EA,IMP
SL-6 DEB,1961-002C,73,DEB,D,CIS,1961-02-04,TYMSC,1961-03-17,88.21,64.89,227,145,,,EA,IMP
SL-6 R/B,1961-003B,76,R/B,D,CIS,1961-02-12,TYMSC,1961-02-18,88.98,65.01,238,211,,,EA,IMP
SPUTNIK 8,1961-003C,77,PAY,D,CIS,1961-02-12,TYMSC,1961-02-25,88.61,65.01,242,169,,,EA,IMP
SL-6 DEB,1961-003D,78,DEB,D,CIS,1961-02-12,TYMSC,1961-02-18,89.53,65.01,305,198,,,EA,IMP
ATLAS AGENA A R/B,1961-001B,79,R/B,D,US,1961-01-31,AFWTR,1970-10-09,87.27,97.35,161,118,,,EA,IMP
VENERA 1,1961-003A,80,PAY,,CIS,1961-02-12,TYMSC,,,,,,0.0039,NEA,SU,ORB
EXPLORER 9,1961-004A,81,PAY,D,US,1961-02-16,WLPIS,1964-04-09,93.01,38.84,559,285,,,EA,IMP
SCOUT X-1 R/B,1961-004B,82,R/B,,US,1961-02-16,WLPIS,,117.27,38.86,2483,633,0.5330,,EA,ORB
DISCOVERER 20,1961-005A,83,PAY,D,US,1961-02-17,AFWTR,1962-07-28,88.58,80.83,204,204,,,EA,IMP
DISCOVERER 21,1961-006A,84,PAY,D,US,1961-02-18,AFWTR,1962-04-20,89.30,80.63,276,204,,,EA,IMP
SCOUT X-1 DEB,1961-004C,85,DEB,D,US,1961-02-16,WLPIS,2025-06-03,92.87,38.63,447,383,0.0504,,EA,IMP
SCOUT X-1 DEB,1961-004D,86,DEB,D,US,1961-02-16,WLPIS,1961-06-30,,,,,,,EA,IMP
TRANSIT 3B & LOFTI 1,1961-007A,87,PAY,D,US,1961-02-22,AFETR,1961-03-30,88.09,28.38,225,135,,,EA,IMP
DISCOVERER 20 DEB,1961-005B,88,DEB,D,US,1961-02-17,AFWTR,1961-04-02,90.14,80.91,281,281,,,EA,IMP
DISCOVERER 20 DEB,1961-005C,89,DEB,D,US,1961-02-17,AFWTR,1961-04-20,92.80,80.91,539,284,,,EA,IMP
DISCOVERER 20 DEB,1961-005D,90,DEB,D,US,1961-02-17,AFWTR,1961-10-31,91.01,80.71,327,321,,,EA,IMP
SPUTNIK 9,1961-008A,91,PAY,D,CIS,1961-03-09,TYMSC,1961-03-09,87.83,64.93,213,121,,,EA,IMP
SPUTNIK 9 DEB,1961-008B,92,DEB,D,CIS,1961-03-09,TYMSC,1961-03-10,88.19,64.93,200,170,,,EA,IMP
SPUTNIK 9 DEB,1961-008C,93,DEB,D,CIS,1961-03-09,TYMSC,1961-03-10,87.94,64.93,173,173,,,EA,IMP
SPUTNIK 9 DEB,1961-008D,94,DEB,D,CIS,1961-03-09,TYMSC,1961-03-10,,,,,,NIE,EA,IMP
SPUTNIK 10,1961-009A,95,PAY,D,CIS,1961-03-25,TYMSC,1961-03-25,88.00,65.00,176,176,,,EA,IMP
SL-3 R/B,1961-009B,96,R/B,D,CIS,1961-03-25,TYMSC,1961-03-26,87.82,65.00,198,135,,,EA,IMP
SL-3 DEB,1961-009C,97,DEB,D,CIS,1961-03-25,TYMSC,1961-03-26,88.53,65.00,237,167,,,EA,IMP
EXPLORER 10,1961-010A,98,PAY,D,US,1961-03-25,AFETR,1961-06-30,,,,,,,EA,IMP
DISCOVERER 23,1961-011A,100,PAY,D,US,1961-04-08,AFWTR,1962-04-16,89.47,82.23,268,228,,,EA,IMP
DISCOVERER 23 CAPSULE,1961-011B,102,PAY,D,US,1961-04-08,AFWTR,1962-05-23,88.27,81.88,189,189,,,EA,IMP
VOSTOK 1,1961-012A,103,PAY,D,CIS,1961-04-12,TYMSC,1961-04-12,89.33,64.95,314,168,,,EA,IMP
SL-3 R/B,1961-012B,104,R/B,D,CIS,1961-04-12,TYMSC,1961-04-16,88.72,65.07,268,155,,,EA,IMP
DISCOVERER 23 DEB,1961-011C,106,DEB,D,US,1961-04-08,AFWTR,1961-09-10,91.11,81.87,473,185,,,EA,IMP
EXPLORER 11,1961-013A,107,PAY,,US,1961-04-27,AFETR,,101.23,28.78,1171,463,0.4538,,EA,ORB
DISCOVERER 25,1961-014A,108,PAY,D,US,1961-06-16,AFWTR,1961-07-12,88.23,82.11,187,187,,,EA,IMP
DISCOVERER 25 DEB,1961-014B,109,DEB,D,US,1961-06-16,AFWTR,1961-06-19,89.36,82.11,262,223,,,EA,IMP
TRANSIT 4A,1961-015A,116,PAY,,US,1961-06-29,AFETR,,103.42,66.81,979,862,0.7486,,EA,ORB
SOLRAD 3 & INJUN 1,1961-015B,117,PAY,,US,1961-06-29,AFETR,,103.58,66.81,989,866,0.4239,,EA,ORB
THOR ABLESTAR R/B,1961-015C,118,R/B,,US,1961-06-29,AFETR,,102.66,66.76,948,821,1.6476,,EA,ORB
THOR ABLESTAR DEB,1961-015D,119,DEB,,US,1961-06-29,AFETR,,100.88,66.72,875,725,0.2397,,EA,ORB
THOR ABLESTAR DEB,1961-015E,120,DEB,,US,1961-06-29,AFETR,,100.72,66.70,876,710,0.1840,,EA,ORB
THOR ABLESTAR DEB,1961-015F,121,DEB,,US,1961-06-29,AFETR,,102.84,66.75,964,822,0.2591,,EA,ORB
THOR ABLESTAR DEB,1961-015G,122,DEB,,US,1961-06-29,AFETR,,95.86,66.74,584,537,0.3240,,EA,ORB
THOR ABLESTAR DEB,1961-015H,123,DEB,,US,1961-06-29,AFETR,,99.88,66.68,834,671,0.1157,,EA,ORB
THOR ABLESTAR DEB,1961-015J,124,DEB,,US,1961-06-29,AFETR,,100.27,66.54,815,727,0.0983,,EA,ORB
THOR ABLESTAR DEB,1961-015K,125,DEB,,US,1961-06-29,AFETR,,102.29,66.88,918,816,0.0420,,EA,ORB
THOR ABLESTAR DEB,1961-015L,126,DEB,,US,1961-06-29,AFETR,,99.65,66.71,787,697,0.3190,,EA,ORB
THOR ABLESTAR DEB,1961-015M,127,DEB,,US,1961-06-29,AFETR,,99.40,66.83,778,682,0.3519,,EA,ORB
THOR ABLESTAR DEB,1961-015N,128,DEB,,US,1961-06-29,AFETR,,102.71,66.68,960,814,0.1654,,EA,ORB
THOR ABLESTAR DEB,1961-015P,129,DEB,D,US,1961-06-29,AFETR,1981-08-31,88.48,66.54,215,183,0.1076,,EA,IMP
THOR ABLESTAR DEB,1961-015Q,130,DEB,,US,1961-06-29,AFETR,,102.90,66.77,963,829,0.4390,,EA,ORB
THOR ABLESTAR DEB,1961-015R,131,DEB,,US,1961-06-29,AFETR,,102.72,66.74,944,831,0.1233,,EA,ORB
THOR ABLESTAR DEB,1961-015S,132,DEB,,US,1961-06-29,AFETR,,103.24,66.66,964,860,0.2540,,EA,ORB
THOR ABLESTAR DEB,1961-015T,133,DEB,,US,1961-06-29,AFETR,,101.19,67.11,847,783,0.6005,,EA,ORB
THOR ABLESTAR DEB,1961-015U,134,DEB,,US,1961-06-29,AFETR,,103.02,66.88,958,845,1.5570,,EA,ORB
THOR ABLESTAR DEB,1961-015V,135,DEB,D,US,1961-06-29,AFETR,2002-04-17,89.31,66.68,253,227,0.1500,,EA,IMP
THOR ABLESTAR DEB,1961-015W,136,DEB,,US,1961-06-29,AFETR,,99.84,67.53,784,718,0.1039,,EA,ORB
THOR ABLESTAR DEB,1961-015X,137,DEB,D,US,1961-06-29,AFETR,1980-12-15,92.26,66.55,405,366,0.0719,,EA,IMP
THOR ABLESTAR DEB,1961-015Y,138,DEB,,US,1961-06-29,AFETR,,102.51,67.16,895,860,0.1008,,EA,ORB
THOR ABLESTAR DEB,1961-015Z,139,DEB,D,US,1961-06-29,AFETR,1978-07-08,92.00,67.12,400,346,0.3498,,EA,IMP
THOR ABLESTAR DEB,1961-015AA,140,DEB,D,US,1961-06-29,AFETR,1962-09-30,89.92,66.59,311,230,,,EA,IMP
THOR ABLESTAR DEB,1961-015AB,141,DEB,,US,1961-06-29,AFETR,,103.67,66.59,971,893,0.3000,,EA,ORB
THOR ABLESTAR DEB,1961-015AC,142,DEB,D,US,1961-06-29,AFETR,1967-12-25,90.94,67.06,328,313,,,EA,IMP
THOR ABLESTAR DEB,1961-015AD,143,DEB,D,US,1961-06-29,AFETR,1962-06-16,89.84,66.24,294,239,,,EA,IMP
THOR ABLESTAR DEB,1961-015AE,144,DEB,,US,1961-06-29,AFETR,,103.47,66.50,957,888,0.0791,,EA,ORB
THOR ABLESTAR DEB,1961-015AF,145,DEB,,US,1961-06-29,AFETR,,102.61,66.92,933,832,0.1138,,EA,ORB
THOR ABLESTAR DEB,1961-015AG,146,DEB,D,US,1961-06-29,AFETR,1969-07-07,87.32,66.95,190,93,,,EA,IMP
THOR ABLESTAR DEB,1961-015AH,147,DEB,,US,1961-06-29,AFETR,,101.10,66.62,844,777,0.1196,,EA,ORB
THOR ABLESTAR DEB,1961-015AJ,148,DEB,,US,1961-06-29,AFETR,,102.06,65.77,966,747,0.1240,,EA,ORB
THOR ABLESTAR DEB,1961-015AK,149,DEB,D,US,1961-06-29,AFETR,1979-03-03,95.67,67.08,559,542,0.0562,,EA,IMP
THOR ABLESTAR DEB,1961-015AL,150,DEB,,US,1961-06-29,AFETR,,104.05,66.25,998,902,0.2067,,EA,ORB
THOR ABLESTAR DEB,1961-015AM,151,DEB,D,US,1961-06-29,AFETR,1967-12-02,91.65,66.84,385,326,,,EA,IMP
THOR ABLESTAR DEB,1961-015AN,152,DEB,,US,1961-06-29,AFETR,,102.01,66.59,960,748,0.2350,,EA,ORB
THOR ABLESTAR DEB,1961-015AP,153,DEB,D,US,1961-06-29,AFETR,1981-04-20,92.10,67.09,391,364,0.0675,,EA,IMP
THOR ABLESTAR DEB,1961-015AQ,154,DEB,,US,1961-06-29,AFETR,,102.39,66.66,934,810,0.2710,,EA,ORB
THOR ABLESTAR DEB,1961-015AR,155,DEB,,US,1961-06-29,AFETR,,99.14,66.87,747,688,0.0380,,EA,ORB
THOR ABLESTAR DEB,1961-015AS,156,DEB,D,US,1961-06-29,AFETR,1998-09-25,89.86,66.96,281,254,0.0803,,EA,IMP
THOR ABLESTAR DEB,1961-015AT,157,DEB,D,US,1961-06-29,AFETR,1981-01-08,90.90,66.71,330,308,0.3500,,EA,IMP
