OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1237,1981-001A,12130,PAY,D,CIS,1981-01-06,PLMSC,1981-01-20,,,,,,,EA,IMP
SL-4 R/B,1981-001B,12131,R/B,D,CIS,1981-01-06,PLMSC,1981-01-15,,,,,,,EA,IMP
SL-4 DEB,1981-001C,12132,DEB,D,CIS,1981-01-06,PLMSC,1981-01-12,,,,,,,EA,IMP
MOLNIYA 3-14,1981-002A,12133,PAY,D,CIS,1981-01-09,PLMSC,1999-07-03,87.53,61.88,237,67,20.6239,,EA,IMP
SL-6 R/B(2),1981-002B,12134,R/B,D,CIS,1981-01-09,PLMSC,1999-10-23,94.16,61.95,877,78,7.3994,,EA,IMP
SL-6 R/B(1),1981-002C,12135,R/B,D,CIS,1981-01-09,PLMSC,1981-01-27,,,,,,,EA,IMP
SL-6 PLAT,1981-002D,12136,DEB,D,CIS,1981-01-09,PLMSC,1981-01-22,,,,,,,EA,IMP
COSMOS 1238,1981-003A,12138,PAY,,CIS,1981-01-16,PLMSC,,101.87,82.96,1305,389,2.9540,,EA,ORB
SL-8 R/B,1981-003B,12139,R/B,,CIS,1981-01-16,PLMSC,,94.95,82.94,683,350,5.4790,,EA,ORB
COSMOS 1239,1981-004A,12140,PAY,D,CIS,1981-01-16,PLMSC,1981-01-28,88.55,82.33,209,197,,,EA,IMP
SL-4 R/B,1981-004B,12141,R/B,D,CIS,1981-01-16,PLMSC,1981-01-20,,,,,,,EA,IMP
COSMOS 1240,1981-005A,12143,PAY,D,CIS,1981-01-20,TYMSC,1981-02-17,89.64,64.86,359,155,14.4537,,EA,IMP
SL-4 R/B,1981-005B,12144,R/B,D,CIS,1981-01-20,TYMSC,1981-01-24,,,,,,,EA,IMP
COSMOS 1237 DEB,1981-001D,12145,DEB,D,CIS,1981-01-06,PLMSC,1981-06-05,87.07,72.83,137,121,0.9655,,EA,IMP
COSMOS 1237 DEB,1981-001E,12146,DEB,D,CIS,1981-01-06,PLMSC,1981-02-09,89.44,72.84,248,246,,,EA,IMP
COSMOS 1237 DEB,1981-001F,12147,DEB,D,CIS,1981-01-06,PLMSC,1981-03-03,87.33,72.84,147,137,0.6772,,EA,IMP
COSMOS 1237 DEB,1981-001G,12148,DEB,D,CIS,1981-01-06,PLMSC,1981-02-10,,,,,0.3100,,EA,IMP
COSMOS 1241,1981-006A,12149,PAY,,CIS,1981-01-21,PLMSC,,104.94,65.83,995,988,1.4348,,EA,ORB
SL-8 R/B,1981-006B,12150,R/B,,CIS,1981-01-21,PLMSC,,104.54,65.82,1012,934,4.8103,,EA,ORB
SL-8 DEB,1981-006C,12151,DEB,,CIS,1981-01-21,PLMSC,,104.80,65.82,989,981,0.5112,,EA,ORB
PROGRESS 12,1981-007A,12152,PAY,D,CIS,1981-01-24,TYMSC,1981-03-20,91.40,51.63,352,335,,,EA,IMP
SL-4 R/B,1981-007B,12153,R/B,D,CIS,1981-01-24,TYMSC,1981-01-27,,,,,,,EA,IMP
COSMOS 1242,1981-008A,12154,PAY,D,CIS,1981-01-27,PLMSC,2014-05-08,87.20,81.12,139,133,8.3499,,EA,IMP
SL-3 R/B,1981-008B,12155,R/B,D,CIS,1981-01-27,PLMSC,2024-08-23,87.42,81.12,152,141,5.1160,,EA,IMP
MOLNIYA 1-49,1981-009A,12156,PAY,D,CIS,1981-01-30,PLMSC,2024-03-12,133.16,61.80,4330,190,16.8391,,EA,IMP
SL-6 R/B(1),1981-009B,12157,R/B,D,CIS,1981-01-30,PLMSC,1981-02-14,87.91,62.81,199,144,25.3178,,EA,IMP
SL-6 PLAT,1981-009C,12158,DEB,D,CIS,1981-01-30,PLMSC,1981-02-09,87.76,62.81,190,137,6.1700,,EA,IMP
SL-6 R/B(2),1981-009D,12159,R/B,D,CIS,1981-01-30,PLMSC,2024-05-24,91.62,61.95,630,78,7.9042,,EA,IMP
COSMOS 1243,1981-010A,12160,PAY,D,CIS,1981-02-02,TYMSC,1981-02-02,97.84,65.82,1015,296,,,EA,IMP
SL-11 R/B,1981-010B,12161,R/B,D,CIS,1981-02-02,TYMSC,1981-02-04,87.96,65.09,231,116,,,EA,IMP
INTERCOSMOS 21,1981-011A,12162,PAY,D,CIS,1981-02-06,PLMSC,1982-07-07,87.82,73.98,175,158,13.9175,,EA,IMP
SL-8 R/B,1981-011B,12163,R/B,D,CIS,1981-02-06,PLMSC,1982-06-22,87.56,73.98,163,144,33.0473,,EA,IMP
KIKU-3 (ETS-IV),1981-012A,12295,PAY,-,JPN,1981-02-11,TANSC,,235.20,28.44,12195,293,1.8459,,EA,ORB
N-2 R/B(1),1981-012B,12296,R/B,D,JPN,1981-02-11,TANSC,1981-02-28,87.71,30.34,177,145,,,EA,IMP
COSMOS 1244,1981-013A,12297,PAY,,CIS,1981-02-12,PLMSC,,104.71,82.95,1003,958,2.2022,,EA,ORB
SL-8 R/B,1981-013B,12298,R/B,,CIS,1981-02-12,PLMSC,,104.58,82.95,996,954,4.3180,,EA,ORB
COSMOS 1245,1981-014A,12299,PAY,D,CIS,1981-02-13,PLMSC,1981-02-27,92.24,72.84,414,355,,,EA,IMP
SL-4 R/B,1981-014B,12300,R/B,D,CIS,1981-02-13,PLMSC,1981-02-21,87.83,72.82,190,144,,,EA,IMP
COSMOS 1246,1981-015A,12301,PAY,D,CIS,1981-02-18,TYMSC,1981-03-13,89.21,64.89,262,210,26.3000,,EA,IMP
SL-4 R/B,1981-015B,12302,R/B,D,CIS,1981-02-18,TYMSC,1981-02-21,87.36,64.90,155,132,,,EA,IMP
COSMOS 1247,1981-016A,12303,PAY,,CIS,1981-02-19,PLMSC,,711.08,69.29,36409,3615,6.1606,,EA,ORB
SL-6 R/B(1),1981-016B,12304,R/B,D,CIS,1981-02-19,PLMSC,1981-03-13,87.46,62.80,164,133,18.2400,,EA,IMP
SL-6 PLAT,1981-016C,12305,DEB,D,CIS,1981-02-19,PLMSC,1981-02-25,88.50,62.84,271,130,,,EA,IMP
SL-6 DEB,1981-016D,12306,DEB,D,CIS,1981-02-19,PLMSC,1981-04-13,90.14,62.84,385,178,,,EA,IMP
HINOTORI (ASTRO-A),1981-017A,12307,PAY,D,JPN,1981-02-21,KSCUT,1991-07-11,87.51,31.32,155,147,4.4500,,EA,IMP
M-3S R/B,1981-017B,12308,R/B,D,JPN,1981-02-21,KSCUT,1991-05-26,87.47,31.29,152,146,1.6137,,EA,IMP
ESIAFI 1 (COMSTAR 4),1981-018A,12309,PAY,-,US,1981-02-21,AFETR,,1435.98,8.58,35793,35775,22.0600,,EA,ORB
M-3S DEB,1981-017C,12310,DEB,D,JPN,1981-02-21,KSCUT,1981-11-25,94.77,31.36,561,454,0.0685,,EA,IMP
SL-6 R/B(2),1981-016E,12311,R/B,,CIS,1981-02-19,PLMSC,,703.57,71.64,34114,5537,5.4600,,EA,ORB
COSMOS 1245 DEB,1981-014C,12312,DEB,D,CIS,1981-02-13,PLMSC,1981-04-01,87.89,72.81,173,167,0.4800,,EA,IMP
COSMOS 1245 DEB,1981-014D,12313,DEB,D,CIS,1981-02-13,PLMSC,1981-03-03,92.17,72.83,434,327,0.3100,,EA,IMP
COSMOS 1245 DEB,1981-014E,12314,DEB,D,CIS,1981-02-13,PLMSC,1981-03-15,88.48,72.82,204,195,0.3100,,EA,IMP
OPS 1166,1981-019A,12315,PAY,D,US,1981-02-28,AFWTR,1981-06-20,88.33,96.27,249,135,7.3700,,EA,IMP
