OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1331,1982-001A,13027,PAY,,CIS,1982-01-07,PLMSC,,100.16,74.05,783,749,3.0440,,EA,ORB
SL-8 R/B,1982-001B,13028,R/B,,CIS,1982-01-07,PLMSC,,100.00,74.04,773,744,4.1390,,EA,ORB
SL-8 DEB,1982-001C,13029,DEB,,CIS,1982-01-07,PLMSC,,97.50,73.97,644,635,0.0134,,EA,ORB
SL-8 DEB,1982-001D,13030,DEB,D,CIS,1982-01-07,PLMSC,2025-12-12,89.00,73.96,231,219,0.0115,,EA,IMP
COSMOS 1332,1982-002A,13031,PAY,D,CIS,1982-01-12,PLMSC,1982-01-25,88.69,82.31,224,195,0.8615,,EA,IMP
SL-4 R/B,1982-002B,13032,R/B,D,CIS,1982-01-12,PLMSC,1982-01-16,87.49,82.30,154,146,32.0145,,EA,IMP
COSMOS 1333,1982-003A,13033,PAY,,CIS,1982-01-14,PLMSC,,104.84,82.94,1011,963,2.0760,,EA,ORB
SL-8 R/B,1982-003B,13034,R/B,,CIS,1982-01-14,PLMSC,,104.69,82.93,1003,957,4.2721,,EA,ORB
SATCOM 4,1982-004A,13035,PAY,,US,1982-01-16,AFETR,,1445.96,12.72,36192,35766,2.5119,,EA,ORB
COSMOS 1334,1982-005A,13036,PAY,D,CIS,1982-01-20,PLMSC,1982-02-03,89.63,72.86,286,226,17.0500,,EA,IMP
SL-4 R/B,1982-005B,13037,R/B,D,CIS,1982-01-20,PLMSC,1982-01-24,87.34,72.84,152,133,,,EA,IMP
SL-4 DEB,1982-005C,13038,DEB,D,CIS,1982-01-20,PLMSC,1982-01-22,88.92,72.85,264,178,0.0856,,EA,IMP
SL-4 DEB,1982-005D,13039,DEB,D,CIS,1982-01-20,PLMSC,1982-01-20,89.52,72.83,294,208,,,EA,IMP
OPS 2849,1982-006A,13040,PAY,D,US,1982-01-21,AFWTR,1982-05-23,97.47,97.23,644,632,38.1700,,EA,IMP
TITAN 3B AGENA R/B,1982-006B,13041,R/B,D,US,1982-01-21,AFWTR,1982-01-22,87.68,97.35,215,105,,,EA,IMP
COSMOS 1335,1982-007A,13042,PAY,D,CIS,1982-01-29,PLMSC,1987-04-05,87.53,74.00,158,146,20.2600,,EA,IMP
SL-8 R/B,1982-007B,13043,R/B,D,CIS,1982-01-29,PLMSC,1985-11-24,86.94,74.01,127,119,20.1387,,EA,IMP
COSMOS 1335 DEB,1982-007C,13044,DEB,D,CIS,1982-01-29,PLMSC,1982-01-30,94.54,74.04,509,483,,,EA,IMP
COSMOS 1336,1982-008A,13045,PAY,D,CIS,1982-01-30,TYMSC,1982-02-26,89.01,70.32,300,152,29.0700,,EA,IMP
SL-4 R/B,1982-008B,13046,R/B,D,CIS,1982-01-30,TYMSC,1982-02-02,88.17,70.34,226,143,43.9600,,EA,IMP
SL-4 DEB,1982-008C,13047,DEB,D,CIS,1982-01-30,TYMSC,1982-01-31,88.54,70.34,259,146,,,EA,IMP
COSMOS 1334 DEB,1982-005E,13048,DEB,D,CIS,1982-01-20,PLMSC,1982-02-04,90.06,72.86,352,203,,,EA,IMP
COSMOS 1334 DEB,1982-005F,13049,DEB,D,CIS,1982-01-20,PLMSC,1982-02-06,88.97,72.83,260,187,,,EA,IMP
COSMOS 1334 DEB,1982-005G,13050,DEB,D,CIS,1982-01-20,PLMSC,1982-02-17,88.09,72.84,191,169,,,EA,IMP
COSMOS 1334 DEB,1982-005H,13051,DEB,D,CIS,1982-01-20,PLMSC,1982-02-05,88.85,72.86,238,197,,,EA,IMP
COSMOS 1334 DEB,1982-005J,13052,DEB,D,CIS,1982-01-20,PLMSC,1982-02-05,88.09,72.84,194,166,,,EA,IMP
EKRAN 8,1982-009A,13056,PAY,-,CIS,1982-02-05,TYMSC,,1440.87,6.92,35999,35761,6.3095,,EA,ORB
SL-12 R/B(1),1982-009B,13057,R/B,D,CIS,1982-02-05,TYMSC,1982-02-07,87.41,51.62,148,144,,,EA,IMP
SL-12 PLAT,1982-009C,13058,DEB,D,CIS,1982-02-05,TYMSC,1982-02-06,87.35,51.61,146,141,,,EA,IMP
SL-12 R/B(AUX MOTOR),1982-009D,13059,R/B,D,CIS,1982-02-05,TYMSC,1982-11-16,94.96,46.47,941,92,,,EA,IMP
SL-12 R/B(AUX MOTOR),1982-009E,13060,R/B,D,CIS,1982-02-05,TYMSC,1984-11-26,87.80,46.35,227,104,1.6200,,EA,IMP
COSMOS 1337,1982-010A,13061,PAY,D,CIS,1982-02-11,TYMSC,1982-07-25,87.71,65.00,173,149,46.3500,,EA,IMP
SL-11 R/B,1982-010B,13062,R/B,D,CIS,1982-02-11,TYMSC,1982-02-11,88.60,65.00,302,108,,,EA,IMP
COSMOS 1338,1982-011A,13063,PAY,D,CIS,1982-02-16,PLMSC,1982-03-02,92.26,72.84,413,357,,,EA,IMP
SL-4 R/B,1982-011B,13064,R/B,D,CIS,1982-02-16,PLMSC,1982-02-24,87.53,72.82,168,136,,,EA,IMP
COSMOS 1339,1982-012A,13065,PAY,,CIS,1982-02-17,PLMSC,,104.67,82.90,1010,947,1.4824,,EA,ORB
SL-8 R/B,1982-012B,13066,R/B,,CIS,1982-02-17,PLMSC,,104.54,82.89,1004,942,4.0636,,EA,ORB
COSMOS 1340,1982-013A,13067,PAY,D,CIS,1982-02-19,PLMSC,2025-04-04,87.48,81.14,155,144,6.3351,,EA,IMP
SL-3 R/B,1982-013B,13068,R/B,,CIS,1982-02-19,PLMSC,,94.54,81.18,511,482,4.5120,,EA,ORB
WESTAR 4,1982-014A,13069,PAY,,US,1982-02-26,AFETR,,1443.28,12.57,35946,35909,3.2118,,EA,ORB
MOLNIYA 1-53,1982-015A,13070,PAY,,CIS,1982-02-26,PLMSC,,717.29,63.83,39076,1255,15.6867,,EA,ORB
SL-6 R/B(1),1982-015B,13071,R/B,D,CIS,1982-02-26,PLMSC,1982-03-08,87.65,62.85,184,132,,,EA,IMP
SL-6 PLAT,1982-015C,13072,DEB,D,CIS,1982-02-26,PLMSC,1982-03-13,87.53,62.83,173,132,23.5300,,EA,IMP
SL-6 R/B(2),1982-015D,13075,R/B,,CIS,1982-02-26,PLMSC,,726.88,63.10,39414,1389,7.4279,,EA,ORB
COSMOS 1338 DEB,1982-011C,13076,DEB,D,CIS,1982-02-16,PLMSC,1982-03-21,88.27,72.81,194,184,0.3100,,EA,IMP
COSMOS 1338 DEB,1982-011D,13077,DEB,D,CIS,1982-02-16,PLMSC,1982-09-27,88.08,72.83,182,177,0.8866,,EA,IMP
COSMOS 1338 DEB,1982-011E,13078,DEB,D,CIS,1982-02-16,PLMSC,1982-04-06,88.63,72.82,214,199,0.5500,,EA,IMP
COSMOS 1338 DEB,1982-011F,13079,DEB,D,CIS,1982-02-16,PLMSC,1982-03-19,92.10,72.85,405,350,0.3100,,EA,IMP
COSMOS 1341,1982-016A,13080,PAY,,CIS,1982-03-03,PLMSC,,716.92,71.99,35365,4948,7.5279,,EA,ORB
SL-6 R/B(1),1982-016B,13081,R/B,D,CIS,1982-03-03,PLMSC,1982-03-27,88.22,62.80,224,149,29.2400,,EA,IMP
SL-6 PLAT,1982-016C,13082,DEB,D,CIS,1982-03-03,PLMSC,1982-03-16,87.77,62.88,200,129,9.7600,,EA,IMP
INTELSAT 504,1982-017A,13083,PAY,-,ITSO,1982-03-05,AFETR,,1451.28,11.28,36151,36016,6.6928,,EA,ORB
