OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
MARS POLAR LANDER,1999-001A,25605,PAY,D,US,1999-01-03,AFETR,1999-12-03,,,,,5.0100,NIE,MA,IMP
DELTA 2 R/B(2),1999-001B,25606,R/B,,US,1999-01-03,AFETR,,,,,,3.1600,NEA,SU,ORB
DELTA 2 R/B(1),1999-001C,25607,R/B,D,US,1999-01-03,AFETR,1999-03-23,88.34,25.82,224,161,9.6560,,EA,IMP
FORMOSAT-1 (ROCSAT 1),1999-002A,25616,PAY,D,ROC,1999-01-27,AFETR,2023-05-21,87.64,34.90,163,152,2.4189,,EA,IMP
ATHENA 1 R/B(OAM),1999-002B,25617,R/B,D,US,1999-01-27,AFETR,1999-01-29,89.04,34.68,331,122,,,EA,IMP
STARDUST,1999-003A,25618,PAY,-,US,1999-02-07,AFETR,,,,,,,NEA,SU,ORB
DELTA 2 R/B(1),1999-003B,25619,R/B,,US,1999-02-07,AFETR,,119.83,22.44,3066,280,10.2540,,EA,ORB
DELTA 2 R/B(2),1999-003C,25620,R/B,,US,1999-02-07,AFETR,,,,,,,NEA,SU,ORB
GLOBALSTAR M023,1999-004A,25621,PAY,-,GLOB,1999-02-09,TYMSC,,114.06,52.01,1420,1405,1.8713,,EA,ORB
GLOBALSTAR M040,1999-004B,25622,PAY,-,GLOB,1999-02-09,TYMSC,,114.10,51.99,1415,1414,1.8910,,EA,ORB
GLOBALSTAR M036,1999-004C,25623,PAY,-,GLOB,1999-02-09,TYMSC,,121.35,52.00,1750,1732,2.1998,,EA,ORB
GLOBALSTAR M038,1999-004D,25624,PAY,-,GLOB,1999-02-09,TYMSC,,116.83,52.00,1540,1537,2.1580,,EA,ORB
SL-4 R/B(1),1999-004E,25625,R/B,D,CIS,1999-02-09,TYMSC,1999-08-16,87.27,51.90,151,128,13.6525,,EA,IMP
GALAXY 26 (G-26),1999-005A,25626,PAY,-,US,1999-02-15,TYMSC,,1454.54,11.78,36168,36126,31.9872,,EA,ORB
SL-12 R/B(1),1999-005B,25627,R/B,D,CIS,1999-02-15,TYMSC,1999-02-17,87.22,51.59,151,122,22.0000,,EA,IMP
SL-12 PLAT,1999-005C,25628,DEB,D,CIS,1999-02-15,TYMSC,1999-02-16,87.44,51.60,157,138,9.0000,,EA,IMP
SL-12 R/B(2),1999-005D,25629,R/B,,CIS,1999-02-15,TYMSC,,759.52,16.54,35934,6461,26.4415,,EA,ORB
JCSAT-4A,1999-006A,25630,PAY,-,JPN,1999-02-16,AFETR,,1457.36,9.83,36300,36104,31.6228,,EA,ORB
ATLAS 2AS CENTAUR R/B,1999-006B,25631,R/B,D,US,1999-02-16,AFETR,1999-03-17,2122.01,25.63,96381,264,10.0000,,EA,IMP
SOYUZ-TM 29,1999-007A,25632,PAY,D,CIS,1999-02-20,TYMSC,1999-08-28,91.64,51.66,357,352,31.0000,,EA,LAN
SL-4 R/B,1999-007B,25633,R/B,D,CIS,1999-02-20,TYMSC,1999-02-21,87.14,51.64,137,128,5.0000,,EA,IMP
ARGOS,1999-008A,25634,PAY,,US,1999-02-23,AFWTR,,101.41,98.52,832,819,6.3919,,EA,ORB
ORSTED,1999-008B,25635,PAY,-,DEN,1999-02-23,AFWTR,,99.18,96.47,813,626,0.3070,,EA,ORB
SUNSAT (SO-35),1999-008C,25636,PAY,-,SAFR,1999-02-23,AFWTR,,99.55,96.46,839,635,0.4303,,EA,ORB
DELTA 2 R/B,1999-008D,25637,R/B,,US,1999-02-23,AFWTR,,99.36,96.47,826,630,9.8759,,EA,ORB
BADR-3 (ARABSAT-3A),1999-009A,25638,PAY,-,AB,1999-02-26,FRGUI,,1437.40,12.04,35823,35802,7.9433,,EA,ORB
SKYNET 4E,1999-009B,25639,PAY,-,UK,1999-02-26,FRGUI,,1454.16,12.11,36151,36128,5.2477,,EA,ORB
ARIANE 44L R/B,1999-009C,25640,R/B,D,FR,1999-02-26,FRGUI,2013-02-11,87.85,6.86,227,109,23.5168,,EA,IMP
ARIANE DEB [SPELDA],1999-009D,25641,DEB,D,FR,1999-02-26,FRGUI,2003-09-04,87.14,6.63,187,78,16.8516,,EA,IMP
RADUGA-1 4,1999-010A,25642,PAY,-,CIS,1999-02-28,TYMSC,,1437.25,15.65,35833,35785,12.5893,,EA,ORB
SL-12 R/B(1),1999-010B,25643,R/B,D,CIS,1999-02-28,TYMSC,1999-03-03,86.92,51.63,124,119,22.0000,,EA,IMP
SL-12 PLAT,1999-010C,25644,DEB,D,CIS,1999-02-28,TYMSC,1999-03-01,87.37,51.62,145,143,9.0000,,EA,IMP
SL-12 R/B(2),1999-010D,25645,R/B,,CIS,1999-02-28,TYMSC,,1468.74,16.46,36511,36336,1.7782,,EA,ORB
