OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 52,1965-001A,968,PAY,D,CIS,1965-01-11,TYMSC,1965-01-19,89.41,64.99,288,203,,,EA,IMP
SL-3 R/B,1965-001B,969,R/B,D,CIS,1965-01-11,TYMSC,1965-01-29,87.73,64.99,162,162,,,EA,IMP
SL-3 DEB,1965-001C,970,DEB,D,CIS,1965-01-11,TYMSC,1965-01-13,89.28,64.95,298,180,,,EA,IMP
SL-3 DEB,1965-001D,971,DEB,D,CIS,1965-01-11,TYMSC,1965-01-14,89.40,65.06,282,208,,,EA,IMP
OPS 3928,1965-002A,972,PAY,D,US,1965-01-15,AFWTR,1965-02-09,88.22,74.97,219,154,,,EA,IMP
OPS 7040,1965-003A,973,PAY,D,US,1965-01-19,AFWTR,1979-07-13,87.62,98.65,161,152,2.0399,,EA,IMP
OPS 7040 DEB,1965-003B,974,DEB,D,US,1965-01-19,AFWTR,1965-06-17,92.98,98.83,465,375,,,EA,IMP
OPS 7040 DEB,1965-003C,975,DEB,D,US,1965-01-19,AFWTR,1965-07-09,92.56,98.77,431,369,,,EA,IMP
TIROS 9,1965-004A,978,PAY,-,US,1965-01-22,AFETR,,118.90,96.41,2558,705,0.7610,,EA,ORB
DELTA 1 R/B,1965-004B,979,R/B,,US,1965-01-22,AFETR,,118.47,96.41,2522,702,0.4690,,EA,ORB
OPS 4703,1965-005A,980,PAY,D,US,1965-01-23,AFWTR,1965-01-29,88.79,102.55,288,141,,,EA,IMP
ATLAS AGENA D R/B,1965-005B,981,R/B,D,US,1965-01-23,AFWTR,1965-01-25,88.04,102.54,213,142,,,EA,IMP
OPS 3928 DEB,1965-002B,982,DEB,D,US,1965-01-15,AFWTR,1965-01-30,,,,,,,EA,IMP
COSMOS 53,1965-006A,983,PAY,D,CIS,1965-01-30,KYMSC,1966-08-12,88.14,48.64,214,151,,,EA,IMP
SL-7 R/B,1965-006B,984,R/B,D,CIS,1965-01-30,KYMSC,1966-01-11,90.39,48.67,388,200,,,EA,IMP
SL-7 DEB,1965-006C,985,DEB,D,CIS,1965-01-30,KYMSC,1965-03-05,95.08,48.70,828,217,,,EA,IMP
SL-7 DEB,1965-006D,986,DEB,D,CIS,1965-01-30,KYMSC,1965-03-04,93.51,48.60,712,181,,,EA,IMP
OSO 2,1965-007A,987,PAY,D,US,1965-02-03,AFETR,1989-08-09,87.43,32.82,148,146,2.4324,,EA,IMP
DELTA 1 R/B,1965-007B,988,R/B,D,US,1965-02-03,AFETR,1977-09-11,88.47,32.86,203,195,0.7983,,EA,IMP
TITAN 3A DEB [TRUSS],1965-008B,1000,DEB,,US,1965-02-11,AFETR,,145.62,32.14,2800,2781,3.0959,,EA,ORB
TITAN 3A TRANSTAGE R/B,1965-008A,1001,R/B,,US,1965-02-11,AFETR,,145.35,32.15,2795,2764,10.6452,,EA,ORB
LES-1,1965-008C,1002,PAY,,US,1965-02-11,AFETR,,145.70,32.14,2808,2780,0.6539,,EA,ORB
PEGASUS 1,1965-009A,1085,PAY,D,US,1965-02-16,AFETR,1978-09-17,87.68,31.72,176,143,,,EA,IMP
RANGER 8,1965-010A,1086,PAY,D,US,1965-02-17,AFETR,1965-02-20,,,,,,NIE,MO,IMP
ATLAS AGENA B R/B,1965-010B,1087,R/B,,US,1965-02-17,AFETR,,,,,,0.0087,NEA,EM,ORB
APOLLO MODEL 3,1965-009B,1088,PAY,D,US,1965-02-16,AFETR,1985-07-10,87.67,31.72,161,157,35.7812,,EA,IMP
COSMOS 54,1965-011A,1089,PAY,D,CIS,1965-02-21,TYMSC,1968-09-15,88.10,55.96,197,164,,,EA,IMP
COSMOS 55,1965-011B,1090,PAY,D,CIS,1965-02-21,TYMSC,1968-02-02,88.94,55.98,261,183,,,EA,IMP
COSMOS 56,1965-011C,1091,PAY,D,CIS,1965-02-21,TYMSC,1967-11-02,88.23,55.96,207,167,,,EA,IMP
SL-8 R/B,1965-011D,1092,R/B,D,CIS,1965-02-21,TYMSC,1969-12-23,88.02,55.97,192,161,,,EA,IMP
COSMOS 57,1965-012A,1093,PAY,D,CIS,1965-02-22,TYMSC,1965-02-22,,,,,,,EA,IMP
SL-8 DEB,1965-011E,1094,DEB,D,CIS,1965-02-21,TYMSC,1966-04-08,94.78,56.00,774,242,,,EA,IMP
SL-4 R/B,1965-012B,1095,R/B,D,CIS,1965-02-22,TYMSC,1965-03-05,89.43,64.74,341,152,,,EA,IMP
OPS 4782,1965-013A,1096,PAY,D,US,1965-02-25,AFWTR,1965-03-18,89.37,75.07,307,180,,,EA,IMP
COSMOS 58,1965-014A,1097,PAY,D,CIS,1965-02-26,TYMSC,1990-02-25,87.35,64.96,145,142,12.3545,,EA,IMP
SL-3 R/B,1965-014B,1098,R/B,D,CIS,1965-02-26,TYMSC,1988-07-25,87.32,64.98,149,134,10.2837,,EA,IMP
COSMOS 57 DEB,1965-012C,1100,DEB,D,CIS,1965-02-22,TYMSC,1965-03-09,89.81,64.85,384,146,,,EA,IMP
COSMOS 57 DEB,1965-012D,1101,DEB,D,CIS,1965-02-22,TYMSC,1965-03-02,90.13,64.98,405,157,,,EA,IMP
COSMOS 57 DEB,1965-012E,1102,DEB,D,CIS,1965-02-22,TYMSC,1965-02-26,87.67,64.75,179,138,,,EA,IMP
COSMOS 57 DEB,1965-012F,1103,DEB,D,CIS,1965-02-22,TYMSC,1965-03-02,88.35,64.60,218,168,,,EA,IMP
COSMOS 57 DEB,1965-012G,1104,DEB,D,CIS,1965-02-22,TYMSC,1965-03-10,90.62,64.73,455,155,,,EA,IMP
COSMOS 57 DEB,1965-012H,1105,DEB,D,CIS,1965-02-22,TYMSC,1965-02-26,87.64,64.89,191,124,,,EA,IMP
COSMOS 57 DEB,1965-012J,1106,DEB,D,CIS,1965-02-22,TYMSC,1965-03-02,88.46,64.74,227,170,,,EA,IMP
COSMOS 57 DEB,1965-012K,1107,DEB,D,CIS,1965-02-22,TYMSC,1965-02-25,87.87,64.75,219,119,,,EA,IMP
COSMOS 57 DEB,1965-012L,1108,DEB,D,CIS,1965-02-22,TYMSC,1965-03-01,88.95,64.70,268,177,,,EA,IMP
COSMOS 57 DEB,1965-012M,1109,DEB,D,CIS,1965-02-22,TYMSC,1965-02-26,87.50,64.75,158,143,,,EA,IMP
COSMOS 57 DEB,1965-012N,1110,DEB,D,CIS,1965-02-22,TYMSC,1965-02-27,88.02,64.70,211,141,,,EA,IMP
COSMOS 57 DEB,1965-012P,1111,DEB,D,CIS,1965-02-22,TYMSC,1965-03-02,89.24,64.95,316,158,,,EA,IMP
COSMOS 57 DEB,1965-012Q,1112,DEB,D,CIS,1965-02-22,TYMSC,1965-03-01,88.07,64.60,247,111,,,EA,IMP
COSMOS 57 DEB,1965-012R,1113,DEB,D,CIS,1965-02-22,TYMSC,1965-02-25,88.36,64.64,226,160,,,EA,IMP
