OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1522,1984-001A,14611,PAY,,CIS,1984-01-05,PLMSC,,115.47,74.01,1492,1462,0.6966,,EA,ORB
COSMOS 1523,1984-001B,14612,PAY,,CIS,1984-01-05,PLMSC,,114.41,74.00,1460,1397,0.7011,,EA,ORB
COSMOS 1524,1984-001C,14613,PAY,,CIS,1984-01-05,PLMSC,,114.58,74.01,1461,1411,0.6757,,EA,ORB
COSMOS 1525,1984-001D,14614,PAY,,CIS,1984-01-05,PLMSC,,114.75,74.01,1461,1427,0.6860,,EA,ORB
COSMOS 1526,1984-001E,14615,PAY,,CIS,1984-01-05,PLMSC,,114.92,74.01,1461,1442,0.6819,,EA,ORB
COSMOS 1527,1984-001F,14616,PAY,,CIS,1984-01-05,PLMSC,,115.10,74.01,1461,1459,0.6620,,EA,ORB
COSMOS 1528,1984-001G,14617,PAY,,CIS,1984-01-05,PLMSC,,115.29,74.00,1477,1460,0.6865,,EA,ORB
COSMOS 1529,1984-001H,14618,PAY,,CIS,1984-01-05,PLMSC,,115.67,74.01,1511,1461,0.6689,,EA,ORB
SL-8 R/B,1984-001J,14619,R/B,,CIS,1984-01-05,PLMSC,,117.57,73.99,1673,1470,6.2546,,EA,ORB
COSMOS 1530,1984-002A,14622,PAY,D,CIS,1984-01-11,PLMSC,1984-01-25,92.27,72.83,415,357,,,EA,IMP
SL-4 R/B,1984-002B,14623,R/B,D,CIS,1984-01-11,PLMSC,1984-01-25,87.16,72.81,143,125,,,EA,IMP
COSMOS 1531,1984-003A,14624,PAY,,CIS,1984-01-11,PLMSC,,104.92,82.93,1004,977,1.9255,,EA,ORB
SL-8 R/B,1984-003B,14625,R/B,,CIS,1984-01-11,PLMSC,,104.75,82.92,1000,966,4.3589,,EA,ORB
COSMOS 1532,1984-004A,14634,PAY,D,CIS,1984-01-13,PLMSC,1984-02-26,88.83,67.11,265,169,64.2300,,EA,IMP
SL-4 R/B,1984-004B,14635,R/B,D,CIS,1984-01-13,PLMSC,1984-01-18,87.43,67.11,172,122,,,EA,IMP
YURI-2A (BS-2A),1984-005A,14659,PAY,-,JPN,1984-01-23,TANSC,,1453.80,10.96,36204,36061,5.0119,,EA,ORB
N-2 R/B(1),1984-005B,14660,R/B,D,JPN,1984-01-23,TANSC,1984-11-21,87.96,29.90,206,141,27.6844,,EA,IMP
COSMOS 1530 DEB,1984-002C,14661,DEB,D,CIS,1984-01-11,PLMSC,1984-02-04,90.68,72.62,350,265,0.1400,,EA,IMP
COSMOS 1530 DEB,1984-002D,14662,DEB,D,CIS,1984-01-11,PLMSC,1984-04-11,87.98,72.80,179,170,1.0063,,EA,IMP
COSMOS 1530 DEB,1984-002E,14663,DEB,D,CIS,1984-01-11,PLMSC,1984-03-16,88.48,72.81,207,192,50.2400,,EA,IMP
COSMOS 1530 DEB,1984-002F,14664,DEB,D,CIS,1984-01-11,PLMSC,1984-03-26,89.13,72.80,240,223,2.9200,,EA,IMP
N-2 R/B(2),1984-005C,14665,R/B,D,JPN,1984-01-23,TANSC,1992-06-30,88.60,28.14,289,121,3.1674,,EA,IMP
COSMOS 1533,1984-006A,14666,PAY,D,CIS,1984-01-26,TYMSC,1984-02-09,92.17,70.37,414,348,29.1100,,EA,IMP
