OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
GSAT-14,2014-001A,39498,PAY,+,IND,2014-01-05,SRILR,,1436.09,0.01,35803,35770,4.8290,,EA,ORB
GSLV R/B,2014-001B,39499,R/B,D,IND,2014-01-05,SRILR,2014-06-08,103.66,19.11,1774,90,5.2583,,EA,IMP
THAICOM 6,2014-002A,39500,PAY,+,THAI,2014-01-06,AFETR,,1436.08,0.03,35805,35768,12.5893,,EA,ORB
FALCON 9 R/B,2014-002B,39501,R/B,D,US,2014-01-06,AFETR,2014-05-28,220.66,19.17,11351,85,0.4854,,EA,IMP
CYGNUS ORB-1,2014-003A,39502,PAY,D,US,2014-01-09,WLPIS,2014-02-19,92.66,51.64,407,402,7.9433,,EA,IMP
ANTARES R/B,2014-003B,39503,R/B,D,US,2014-01-09,WLPIS,2014-01-18,87.43,51.61,149,145,7.2220,,EA,IMP
TDRS 12,2014-004A,39504,PAY,+,US,2014-01-24,AFETR,,1436.00,4.04,35806,35763,7.9433,,EA,ORB
ATLAS 5 CENTAUR R/B,2014-004B,39505,R/B,,US,2014-01-24,AFETR,,697.26,25.99,34672,4666,23.7470,,EA,ORB
PROGRESS-M 22M,2014-005A,39506,PAY,D,CIS,2014-02-05,TYMSC,2014-04-18,92.34,51.65,418,361,12.4479,,EA,IMP
SL-4 R/B,2014-005B,39507,R/B,D,CIS,2014-02-05,TYMSC,2014-02-07,87.22,51.63,141,133,5.0119,,EA,IMP
ABS-2,2014-006A,39508,PAY,P,ABS,2014-02-06,FRGUI,,1436.09,0.05,35800,35773,0.3533,,EA,ORB
ATHENA-FIDUS,2014-006B,39509,PAY,+,FRIT,2014-02-06,FRGUI,,1436.06,0.01,35793,35778,3.9811,,EA,ORB
ARIANE 5 R/B,2014-006C,39510,R/B,,FR,2014-02-06,FRGUI,,576.76,6.18,32873,275,26.1258,,EA,ORB
ARIANE 5 DEB [SYLDA],2014-006D,39511,DEB,,FR,2014-02-06,FRGUI,,252.99,5.80,13478,267,8.9432,,EA,ORB
TURKSAT 4A,2014-007A,39522,PAY,+,TURK,2014-02-14,TYMSC,,1436.08,0.07,35795,35778,7.7719,,EA,ORB
BREEZE-M R/B,2014-007B,39523,R/B,,CIS,2014-02-14,TYMSC,,763.97,14.37,34151,8458,2.5119,,EA,ORB
BREEZE-M DEB [TANK],2014-007C,39524,DEB,,CIS,2014-02-14,TYMSC,,341.38,49.30,19377,227,7.0183,,EA,ORB
NAVSTAR 69 (USA 248),2014-008A,39533,PAY,+,US,2014-02-21,AFETR,,717.98,53.66,20405,19960,19.9413,,EA,ORB
DELTA 4 R/B,2014-008B,39534,R/B,,US,2014-02-21,AFETR,,754.70,53.05,21638,20522,19.9526,,EA,ORB
SHINDAISAT,2014-009A,39572,PAY,D,JPN,2014-02-27,TANSC,2014-11-24,87.43,64.98,153,142,0.2650,,EA,IMP
ITF-1,2014-009B,39573,PAY,D,JPN,2014-02-27,TANSC,2014-06-29,87.47,64.97,157,141,0.0268,,EA,IMP
GPM-CORE,2014-009C,39574,PAY,+,JPN,2014-02-27,TANSC,,93.23,64.97,441,424,8.1040,,EA,ORB
OPUSAT,2014-009D,39575,PAY,D,JPN,2014-02-27,TANSC,2014-07-24,87.42,64.98,158,135,0.0478,,EA,IMP
TEIKYOSAT-3,2014-009E,39576,PAY,D,JPN,2014-02-27,TANSC,2014-10-25,87.35,64.98,150,136,0.2000,,EA,IMP
INVADER (CO-77),2014-009F,39577,PAY,D,JPN,2014-02-27,TANSC,2014-09-02,87.62,64.99,166,147,0.0540,,EA,IMP
KSAT-2,2014-009G,39578,PAY,D,JPN,2014-02-27,TANSC,2014-05-18,87.91,64.97,178,164,0.0639,,EA,IMP
STARS-II (GENNAI),2014-009H,39579,PAY,D,JPN,2014-02-27,TANSC,2014-04-26,87.56,64.99,162,145,0.2100,,EA,IMP
H-2A R/B,2014-009J,39580,R/B,D,JPN,2014-02-27,TANSC,2014-06-16,87.05,64.99,138,118,22.2937,,EA,IMP
H-2A DEB,2014-009K,39581,DEB,D,JPN,2014-02-27,TANSC,2014-03-10,88.62,64.99,215,197,0.0328,,EA,IMP
EXPRESS-AT1,2014-010A,39612,PAY,P,CIS,2014-03-15,TYMSC,,1435.48,0.42,35796,35753,3.6190,,EA,ORB
EXPRESS-AT2,2014-010B,39613,PAY,+,CIS,2014-03-15,TYMSC,,1436.08,0.01,35789,35784,47.4717,,EA,ORB
BREEZE-M R/B,2014-010C,39614,R/B,,CIS,2014-03-15,TYMSC,,1589.75,11.14,41752,35734,0.3162,,EA,ORB
BREEZE-M DEB [TANK],2014-010D,39615,DEB,D,CIS,2014-03-15,TYMSC,2017-09-15,89.97,48.29,433,112,5.9444,,EA,IMP
AMAZONAS 4A,2014-011A,39616,PAY,P,SPN,2014-03-22,FRGUI,,1436.10,0.05,35811,35763,163.5012,,EA,ORB
ASTRA 5B,2014-011B,39617,PAY,+,SES,2014-03-22,FRGUI,,1436.09,0.09,35800,35773,21.6238,,EA,ORB
ARIANE 5 R/B,2014-011C,39618,R/B,,FR,2014-03-22,FRGUI,,556.17,3.02,31788,261,24.5354,,EA,ORB
ARIANE 5 DEB [SYLDA],2014-011D,39619,DEB,D,FR,2014-03-22,FRGUI,2023-01-07,89.84,2.69,407,126,7.8103,,EA,IMP
