OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
LAPAN-TUBSAT,2007-001A,29709,PAY,+,INDO,2007-01-10,SRILR,,96.90,98.14,619,602,0.3630,,EA,ORB
CARTOSAT-2 (IRS-P7),2007-001B,29710,PAY,D,IND,2007-01-10,SRILR,2024-02-14,87.32,97.86,147,137,2.2852,,EA,IMP
SRE-1,2007-001C,29711,PAY,D,IND,2007-01-10,SRILR,2007-01-22,95.95,97.94,643,486,0.5650,,EA,IMP
PEHUENSAT 1 (PO-63),2007-001D,29712,PAY,D,ARGN,2007-01-10,SRILR,2023-01-16,87.54,97.33,157,148,2.5980,,EA,IMP
PSLV R/B,2007-001E,29713,R/B,,IND,2007-01-10,SRILR,,96.09,98.02,584,558,10.0335,,EA,ORB
PROGRESS-M 59,2007-002A,29714,PAY,D,CIS,2007-01-18,TYMSC,2007-08-01,91.37,51.63,347,337,20.5065,,EA,IMP
SL-4 R/B,2007-002B,29715,R/B,D,CIS,2007-01-18,TYMSC,2007-01-20,87.52,51.63,158,145,4.4764,,EA,IMP
BEIDOU-1 G4,2007-003A,30323,PAY,-,PRC,2007-02-02,XICLF,,1452.28,10.04,36328,35878,20.0000,,EA,ORB
CZ-3A R/B,2007-003B,30324,R/B,,PRC,2007-02-02,XICLF,,327.30,24.68,18430,279,10.4643,,EA,ORB
CZ-3A DEB,2007-003C,30479,DEB,,PRC,2007-02-02,XICLF,,750.16,25.16,41678,263,0.1195,,EA,ORB
THEMIS A,2007-004A,30580,PAY,+,US,2007-02-17,AFETR,,1639.27,9.05,78115,1235,0.3981,,EA,ORB
ARTEMIS P1 (THEMIS B),2007-004B,30581,PAY,+,US,2007-02-17,AFETR,,,,,,0.6310,,MO,ORB
ARTEMIS P2 (THEMIS C),2007-004C,30582,PAY,+,US,2007-02-17,AFETR,,,,,,0.7962,,MO,ORB
DELTA 2 R/B(1),2007-004F,30585,R/B,D,US,2007-02-17,AFETR,2007-07-16,88.01,22.08,213,139,6.3136,,EA,IMP
IGS 4A,2007-005A,30586,PAY,D,JPN,2007-02-24,TANSC,2014-04-13,94.5,97.3,496,488,,,EA,IMP
IGS 4B,2007-005B,30587,PAY,D,JPN,2007-02-24,TANSC,2013-11-12,94.3,97.3,488,484,,,EA,IMP
