OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
THURAYA-3,2008-001A,32404,PAY,P,UAE,2008-01-15,SEAL,,1436.10,6.10,35796,35778,7.9621,,EA,ORB
BLOCK DM-SL R/B,2008-001B,32405,R/B,,SEAL,2008-01-15,SEAL,,639.38,6.07,35726,687,19.5180,,EA,ORB
TECSAR,2008-002A,32476,PAY,D,ISRA,2008-01-21,SRILR,2024-07-03,93.6,41.0,504,397,,NEA,EA,IMP
PSLV R/B,2008-002B,32477,R/B,D,IND,2008-01-21,SRILR,2020-01-23,87.92,41.01,176,167,7.9150,,EA,IMP
EXPRESS-AM33,2008-003A,32478,PAY,-,CIS,2008-01-28,TYMSC,,1436.56,4.96,35853,35738,58.0620,,EA,ORB
BREEZE-M R/B,2008-003B,32479,R/B,,CIS,2008-01-28,TYMSC,,1384.55,11.41,35584,33959,7.9684,,EA,ORB
BREEZE-M DEB [TANK],2008-003C,32480,DEB,,CIS,2008-01-28,TYMSC,,625.82,44.99,34984,731,7.4243,,EA,ORB
PROGRESS-M 63,2008-004A,32484,PAY,D,CIS,2008-02-05,TYMSC,2008-04-07,91.31,51.64,339,338,4.6230,,EA,IMP
SL-4 R/B,2008-004B,32485,R/B,D,CIS,2008-02-05,TYMSC,2008-02-08,87.44,51.60,152,143,8.6997,,EA,IMP
STS 122,2008-005A,32486,PAY,D,US,2008-02-07,AFETR,2008-02-20,91.25,51.64,343,329,,,EA,LAN
THOR 5,2008-006A,32487,PAY,+,NOR,2008-02-11,TYMSC,,1436.10,0.06,35798,35776,31.6228,,EA,ORB
BREEZE-M R/B,2008-006B,32488,R/B,,CIS,2008-02-11,TYMSC,,649.96,48.55,36256,699,5.4341,,EA,ORB
KIZUNA (WINDS),2008-007A,32500,PAY,-,JPN,2008-02-23,TANSC,,1435.39,8.68,35785,35761,15.8489,,EA,ORB
H-2A R/B,2008-007B,32501,R/B,,JPN,2008-02-23,TANSC,,484.73,28.22,27836,289,20.3324,,EA,ORB
ATV-1 (JULES VERNE),2008-008A,32686,PAY,D,ESA,2008-03-09,FRGUI,2008-09-29,91.13,51.64,338,323,15.8866,,EA,IMP
ARIANE 5 R/B,2008-008B,32687,R/B,D,FR,2008-03-09,FRGUI,2008-03-10,89.93,51.64,276,265,,,EA,IMP
STS 123,2008-009A,32699,PAY,D,US,2008-03-11,AFETR,2008-03-26,91.41,51.64,346,341,48.9430,,EA,LAN
USA 200,2008-010A,32706,PAY,+,US,2008-03-13,AFWTR,,717.79,63.50,39279,1076,,NEA,EA,ORB
