OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
PIONEER 5,1960-001A,27,PAY,,US,1960-03-11,AFETR,,,,,,0.0008,NEA,SU,ORB
THOR ABLE R/B,1960-002A,28,R/B,D,US,1960-04-01,AFETR,1991-07-03,87.80,48.34,168,163,1.6017,,EA,IMP
TIROS 1,1960-002B,29,PAY,-,US,1960-04-01,AFETR,,97.37,48.38,649,617,0.8030,,EA,ORB
THOR ABLESTAR R/B,1960-003A,30,R/B,D,US,1960-04-13,AFETR,1961-08-18,88.38,51.25,194,194,,,EA,IMP
TRANSIT 1B,1960-003B,31,PAY,D,US,1960-04-13,AFETR,1967-10-05,88.70,51.20,220,201,,,EA,IMP
DISCOVERER 11,1960-004A,32,PAY,D,US,1960-04-15,AFWTR,1960-04-26,89.70,80.10,377,142,,,EA,IMP
THOR ABLESTAR DEB,1960-003C,33,DEB,D,US,1960-04-13,AFETR,1960-07-17,93.59,51.29,615,285,,,EA,IMP
SPUTNIK 4,1960-005A,34,PAY,D,CIS,1960-05-15,TYMSC,1962-09-05,87.82,64.96,167,167,,,EA,IMP
SL-3 R/B,1960-005B,35,R/B,D,CIS,1960-05-15,TYMSC,1960-07-17,88.48,64.89,199,199,,,EA,IMP
SPUTNIK 4 CABIN,1960-005C,36,PAY,D,CIS,1960-05-15,TYMSC,1965-10-15,88.26,64.96,206,171,,,EA,IMP
SPUTNIK 4 DEB,1960-005D,37,DEB,D,CIS,1960-05-15,TYMSC,1961-06-30,92.92,64.89,552,282,,,EA,IMP
SPUTNIK 4 DEB,1960-005E,38,DEB,D,CIS,1960-05-15,TYMSC,1960-08-20,90.63,64.89,328,282,,,EA,IMP
SPUTNIK 4 DEB,1960-005F,39,DEB,D,CIS,1960-05-15,TYMSC,1960-09-24,90.99,64.89,364,283,,,EA,IMP
SPUTNIK 4 DEB,1960-005G,40,DEB,D,CIS,1960-05-15,TYMSC,1960-09-24,92.13,64.89,475,282,,,EA,IMP
SPUTNIK 4 DEB,1960-005H,41,DEB,D,CIS,1960-05-15,TYMSC,1960-09-30,90.74,64.89,339,283,,,EA,IMP
SPUTNIK 4 DEB,1960-005J,42,DEB,D,CIS,1960-05-15,TYMSC,1960-10-01,91.25,64.89,420,251,,,EA,IMP
MIDAS 2,1960-006A,43,PAY,D,US,1960-05-24,AFETR,1974-02-07,87.82,33.05,168,165,,,EA,IMP
MIDAS 2 DEB,1960-006B,44,DEB,D,US,1960-05-24,AFETR,1960-12-05,89.06,33.00,228,228,,,EA,IMP
TRANSIT 2A,1960-007A,45,PAY,,US,1960-06-22,AFETR,,100.28,66.69,944,599,0.4299,,EA,ORB
SOLRAD 1 (GREB),1960-007B,46,PAY,,US,1960-06-22,AFETR,,98.97,66.69,852,567,0.3501,,EA,ORB
THOR ABLESTAR R/B,1960-007C,47,R/B,,US,1960-06-22,AFETR,,99.63,66.66,891,591,2.9661,,EA,ORB
DISCOVERER 13,1960-008A,48,PAY,D,US,1960-08-10,AFWTR,1960-11-14,89.39,82.85,272,216,,,EA,IMP
ECHO 1,1960-009A,49,PAY,D,US,1960-08-12,AFETR,1968-05-24,92.70,47.19,419,394,,,EA,IMP
DELTA 1 R/B,1960-009B,50,R/B,,US,1960-08-12,AFETR,,118.02,47.23,1683,1501,0.5940,,EA,ORB
ECHO 1 DEB [METAL OBJ],1960-009C,51,DEB,,US,1960-08-12,AFETR,,118.19,47.21,1686,1513,0.5289,,EA,ORB
ECHO 1 DEB [MYLAR OBJ],1960-009D,52,DEB,,US,1960-08-12,AFETR,,118.26,47.38,1711,1494,0.0030,,EA,ORB
ECHO 1 DEB [METAL OBJ],1960-009E,53,DEB,,US,1960-08-12,AFETR,,118.28,47.28,1683,1525,0.5810,,EA,ORB
DISCOVERER 14,1960-010A,54,PAY,D,US,1960-08-18,AFWTR,1960-09-16,87.51,79.65,151,151,,,EA,IMP
SPUTNIK 5,1960-011A,55,PAY,D,CIS,1960-08-19,TYMSC,1960-08-20,90.67,64.90,307,307,,,EA,IMP
SL-3 R/B,1960-011B,56,R/B,D,CIS,1960-08-19,TYMSC,1960-09-23,87.95,64.94,177,168,,,EA,IMP
DISCOVERER 15,1960-012A,57,PAY,D,US,1960-09-13,AFWTR,1960-10-18,88.97,80.90,315,133,,,EA,IMP
COURIER 1B,1960-013A,58,PAY,,US,1960-10-04,AFETR,,106.95,28.33,1208,962,1.2843,,EA,ORB
THOR ABLESTAR R/B,1960-013B,59,R/B,,US,1960-10-04,AFETR,,106.42,28.25,1201,920,3.4517,,EA,ORB
EXPLORER 8,1960-014A,60,PAY,D,US,1960-11-03,AFETR,2012-03-28,87.84,49.88,177,158,0.4520,,EA,IMP
DISCOVERER 17,1960-015A,61,PAY,D,US,1960-11-12,AFWTR,1960-12-29,88.41,81.86,226,166,,,EA,IMP
JUNO II R/B,1960-014B,62,R/B,D,US,1960-11-03,AFETR,1985-10-27,87.74,49.89,166,160,0.6450,,EA,IMP
TIROS 2,1960-016A,63,PAY,D,US,1960-11-23,AFETR,2014-05-18,87.72,48.44,163,160,0.8780,,EA,IMP
DELTA 1 R/B,1960-016B,64,R/B,D,US,1960-11-23,AFETR,1981-09-24,88.54,48.47,208,196,0.6288,,EA,IMP
SPUTNIK 6,1960-017A,65,PAY,D,CIS,1960-12-01,TYMSC,1960-12-02,88.38,65.00,218,171,,,EA,IMP
SL-3 R/B,1960-017B,66,R/B,D,CIS,1960-12-01,TYMSC,1960-12-02,87.28,65.00,140,140,,,EA,IMP
DISCOVERER 18,1960-018A,67,PAY,D,US,1960-12-07,AFWTR,1961-04-02,89.08,81.48,279,179,,,EA,IMP
DISCOVERER 19,1960-019A,68,PAY,D,US,1960-12-20,AFWTR,1961-01-23,89.36,83.40,307,179,,,EA,IMP
JUNO II DEB,1960-014C,69,DEB,D,US,1960-11-03,AFETR,1970-02-16,90.28,49.27,310,266,,,EA,IMP
DELTA 1 DEB,1960-016C,74,DEB,D,US,1960-11-23,AFETR,1989-05-10,89.38,48.54,250,238,0.1777,,EA,IMP
DELTA 1 DEB,1960-016D,75,DEB,D,US,1960-11-23,AFETR,1990-01-25,88.84,48.50,225,209,0.2325,,EA,IMP
THOR ABLESTAR DEB,1960-003D,99,DEB,D,US,1960-04-13,AFETR,1979-07-15,88.98,51.26,227,221,0.0628,,EA,IMP
THOR ABLE DEB [YO],1960-002C,101,DEB,D,US,1960-04-01,AFETR,1983-04-17,88.03,48.47,177,177,0.1132,,EA,IMP
JUNO II DEB,1960-014D,105,DEB,D,US,1960-11-03,AFETR,1972-03-03,90.68,50.42,349,266,,,EA,IMP
THOR ABLE DEB [YO],1960-002D,115,DEB,,US,1960-04-01,AFETR,,96.10,48.16,590,554,0.0471,,EA,ORB
THOR ABLESTAR DEB,1960-007D,840,DEB,D,US,1960-06-22,AFETR,2003-08-19,88.59,66.60,210,199,0.0372,,EA,IMP
THOR ABLESTAR DEB,1960-007E,841,DEB,D,US,1960-06-22,AFETR,2002-11-29,88.23,66.62,195,179,0.0351,,EA,IMP
TIROS 2 DEB,1960-016E,5922,DEB,,US,1960-11-23,AFETR,,105.10,47.03,1030,969,0.0201,,EA,ORB
