OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
LUNA 21,1973-001A,6333,PAY,D,CIS,1973-01-08,TYMSC,1973-01-15,,,,,,NIE,MO,IMP
SL-12 R/B,1973-001B,6334,R/B,D,CIS,1973-01-08,TYMSC,1973-01-12,87.72,51.57,179,144,,,EA,IMP
SL-12 PLAT,1973-001C,6335,DEB,D,CIS,1973-01-08,TYMSC,1973-01-13,88.46,51.55,220,177,,,EA,IMP
COSMOS 543,1973-002A,6339,PAY,D,CIS,1973-01-11,TYMSC,1973-01-25,89.10,64.97,292,168,,,EA,IMP
SL-4 R/B,1973-002B,6340,R/B,D,CIS,1973-01-11,TYMSC,1973-01-22,87.65,64.97,166,150,,,EA,IMP
COSMOS 544,1973-003A,6343,PAY,D,CIS,1973-01-20,PLMSC,1980-06-15,87.26,73.96,147,130,5.1984,,EA,IMP
SL-8 R/B,1973-003B,6344,R/B,D,CIS,1973-01-20,PLMSC,1980-05-18,88.82,73.99,221,212,12.0237,,EA,IMP
SL-8 DEB,1973-003C,6345,DEB,D,CIS,1973-01-20,PLMSC,1975-10-14,91.78,73.93,370,354,,,EA,IMP
COSMOS 543 DEB,1973-002C,6346,DEB,D,CIS,1973-01-11,TYMSC,1973-01-28,87.92,64.97,201,142,,,EA,IMP
COSMOS 543 DEB,1973-002D,6347,DEB,D,CIS,1973-01-11,TYMSC,1973-01-25,87.64,64.98,190,125,,,EA,IMP
COSMOS 545,1973-004A,6348,PAY,D,CIS,1973-01-24,PLMSC,1973-07-31,87.72,70.98,163,160,,,EA,IMP
SL-7 R/B,1973-004B,6349,R/B,D,CIS,1973-01-24,PLMSC,1973-04-21,88.13,70.98,198,165,,,EA,IMP
COSMOS 546,1973-005A,6350,PAY,,CIS,1973-01-26,KYMSC,,94.09,50.63,485,465,1.6560,,EA,ORB
SL-8 R/B,1973-005B,6351,R/B,D,CIS,1973-01-26,KYMSC,1988-03-02,88.21,50.63,192,180,19.7839,,EA,IMP
SL-8 DEB,1973-003D,6352,DEB,D,CIS,1973-01-20,PLMSC,1975-03-21,90.85,74.03,327,305,,,EA,IMP
COSMOS 547,1973-006A,6353,PAY,D,CIS,1973-02-01,TYMSC,1973-02-13,89.52,64.94,298,203,,,EA,IMP
SL-4 R/B,1973-006B,6354,R/B,D,CIS,1973-02-01,TYMSC,1973-02-09,88.01,64.95,190,161,,,EA,IMP
SL-4 DEB,1973-006C,6355,DEB,D,CIS,1973-02-01,TYMSC,1973-02-02,89.10,64.97,258,202,,,EA,IMP
MOLNIYA 1-23,1973-007A,6356,PAY,D,CIS,1973-02-03,TYMSC,1977-10-23,636.65,64.57,36152,121,21.9094,,EA,IMP
SL-6 R/B(1),1973-007B,6357,R/B,D,CIS,1973-02-03,TYMSC,1973-03-13,88.07,64.95,196,162,,,EA,IMP
SL-6 PLAT,1973-007C,6358,DEB,D,CIS,1973-02-03,TYMSC,1973-03-18,87.86,64.96,179,157,,,EA,IMP
COSMOS 548,1973-008A,6359,PAY,D,CIS,1973-02-08,PLMSC,1973-02-21,89.38,65.40,310,178,,,EA,IMP
SL-4 R/B,1973-008B,6360,R/B,D,CIS,1973-02-08,PLMSC,1973-02-16,87.55,65.35,165,142,,,EA,IMP
SL-4 DEB,1973-008C,6361,DEB,D,CIS,1973-02-08,PLMSC,1973-02-09,88.57,65.39,226,182,,,EA,IMP
SL-6 DEB,1973-007D,6363,DEB,D,CIS,1973-02-03,TYMSC,1973-03-10,90.99,64.98,411,235,,,EA,IMP
PROGNOZ 3,1973-009A,6364,PAY,D,CIS,1973-02-15,TYMSC,1977-12-10,5768.62,65.00,199442,896,,,EA,IMP
SL-6 R/B,1973-009B,6365,R/B,D,CIS,1973-02-15,TYMSC,1973-03-22,88.46,64.99,212,184,,,EA,IMP
SL-6 PLAT,1973-009C,6366,DEB,D,CIS,1973-02-15,TYMSC,1973-03-23,88.16,65.05,209,159,,,EA,IMP
COSMOS 548 DEB,1973-008D,6367,DEB,D,CIS,1973-02-08,PLMSC,1973-02-24,87.84,65.38,174,161,,,EA,IMP
SL-6 R/B(2),1973-007E,6368,R/B,D,CIS,1973-02-03,TYMSC,1978-08-04,113.45,64.37,2679,91,13.5950,,EA,IMP
COSMOS 548 DEB,1973-008E,6369,DEB,D,CIS,1973-02-08,PLMSC,1973-02-23,90.19,65.38,385,182,,,EA,IMP
COSMOS 548 DEB,1973-008F,6370,DEB,D,CIS,1973-02-08,PLMSC,1973-02-26,90.63,65.47,453,158,,,EA,IMP
COSMOS 548 DEB,1973-008G,6371,DEB,D,CIS,1973-02-08,PLMSC,1973-02-23,89.77,65.38,332,195,,,EA,IMP
COSMOS 549,1973-010A,6373,PAY,D,CIS,1973-02-28,PLMSC,1980-06-29,87.83,74.02,172,162,4.1284,,EA,IMP
SL-8 R/B,1973-010B,6374,R/B,D,CIS,1973-02-28,PLMSC,1980-09-17,87.28,74.00,147,132,9.9547,,EA,IMP
SL-8 DEB,1973-010C,6375,DEB,D,CIS,1973-02-28,PLMSC,1974-06-24,93.05,74.00,435,413,,,EA,IMP
COSMOS 550,1973-011A,6376,PAY,D,CIS,1973-03-01,PLMSC,1973-03-11,89.29,65.42,296,183,,,EA,IMP
SL-4 R/B,1973-011B,6377,R/B,D,CIS,1973-03-01,PLMSC,1973-03-09,88.07,65.40,198,160,,,EA,IMP
COSMOS 551,1973-012A,6378,PAY,D,CIS,1973-03-06,TYMSC,1973-03-20,90.06,64.98,385,170,,,EA,IMP
SL-4 R/B,1973-012B,6379,R/B,D,CIS,1973-03-06,TYMSC,1973-03-13,88.26,65.00,206,171,,,EA,IMP
OPS 6063,1973-013A,6380,PAY,,US,1973-03-06,AFETR,,1436.12,0.24,35879,35695,,,EA,ORB
SL-4 DEB,1973-012C,6381,DEB,D,CIS,1973-03-06,TYMSC,1973-03-07,88.89,65.04,245,194,,,EA,IMP
OPS 8410,1973-014A,6382,PAY,D,US,1973-03-09,AFWTR,1973-05-18,88.13,95.67,221,143,,,EA,IMP
TITAN 3D R/B,1973-014B,6383,R/B,D,US,1973-03-09,AFWTR,1973-03-11,88.19,95.68,220,149,,,EA,IMP
COSMOS 550 DEB,1973-011C,6384,DEB,D,CIS,1973-03-01,PLMSC,1973-03-18,87.93,65.41,187,156,,,EA,IMP
COSMOS 550 DEB,1973-011D,6385,DEB,D,CIS,1973-03-01,PLMSC,1973-03-12,87.95,65.41,186,160,,,EA,IMP
COSMOS 550 DEB,1973-011E,6386,DEB,D,CIS,1973-03-01,PLMSC,1973-03-12,90.48,65.44,396,200,,,EA,IMP
COSMOS 550 DEB,1973-011F,6387,DEB,D,CIS,1973-03-01,PLMSC,1973-03-12,88.71,65.42,249,173,,,EA,IMP
ATLAS AGENA D R/B,1973-013B,6388,R/B,D,US,1973-03-06,AFETR,1977-03-07,,,,,,,EA,IMP
COSMOS 551 DEB,1973-012D,6389,DEB,D,CIS,1973-03-06,TYMSC,1973-03-22,88.88,65.00,272,166,14.6500,,EA,IMP
