OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
VANGUARD 2,1959-001A,11,PAY,,US,1959-02-17,AFETR,,120.94,32.86,2894,552,0.3931,,EA,ORB
VANGUARD R/B,1959-001B,12,R/B,,US,1959-02-17,AFETR,,125.37,32.90,3285,554,0.5266,,EA,ORB
DISCOVERER 1,1959-002A,13,PAY,D,US,1959-02-28,AFWTR,1959-03-03,,,,,,,EA,IMP
DISCOVERER 2,1959-003A,14,PAY,D,US,1959-04-13,AFWTR,1959-04-26,,,,,,,EA,IMP
EXPLORER 6,1959-004A,15,PAY,D,US,1959-08-07,AFETR,1961-06-30,762.25,46.95,42276,251,,,EA,IMP
THOR ABLE R/B,1959-004B,17,R/B,D,US,1959-08-07,AFETR,1961-06-30,718.96,47.10,40215,198,0.0200,,EA,IMP
DISCOVERER 5,1959-005A,18,PAY,D,US,1959-08-13,AFWTR,1959-09-28,89.10,79.99,323,137,,,EA,IMP
DISCOVERER 6,1959-006A,19,PAY,D,US,1959-08-19,AFWTR,1959-10-20,90.92,84.00,469,171,,,EA,IMP
VANGUARD 3,1959-007A,20,PAY,,US,1959-09-18,AFETR,,123.92,33.34,3204,508,0.6412,,EA,ORB
LUNA 3,1959-008A,21,PAY,D,CIS,1959-10-04,TYMSC,1960-04-20,21563.22,55.00,499998,500,,,EA,IMP
EXPLORER 7,1959-009A,22,PAY,,US,1959-10-13,AFETR,,94.11,50.24,527,424,0.5003,,EA,ORB
JUNO II R/B,1959-009B,23,R/B,D,US,1959-10-13,AFETR,1989-07-16,89.24,50.27,249,225,0.5778,,EA,IMP
DISCOVERER 7,1959-010A,24,PAY,D,US,1959-11-07,AFWTR,1959-11-26,91.54,81.64,539,161,,,EA,IMP
DISCOVERER 8,1959-011A,25,PAY,D,US,1959-11-20,AFWTR,1960-03-08,88.03,80.65,239,115,,,EA,IMP
DISCOVERER 5 CAPSULE,1959-005B,26,PAY,D,US,1959-08-13,AFWTR,1961-02-11,88.73,78.94,280,143,,,EA,IMP
LUNA 1,1959-012A,112,PAY,,CIS,1959-01-02,TYMSC,,,,,,,NEA,SU,ORB
PIONEER 4,1959-013A,113,PAY,,US,1959-03-03,AFETR,,,,,,,NEA,SU,ORB
LUNA 2,1959-014A,114,PAY,D,CIS,1959-09-12,TYMSC,1959-09-13,,,,,,NIE,MO,IMP
VANGUARD DEB,1959-001C,5807,DEB,D,US,1959-02-17,AFETR,1982-11-22,,,,,0.0182,,EA,IMP
VANGUARD DEB,1959-001D,14934,DEB,D,US,1959-02-17,AFETR,2007-10-23,89.81,32.78,273,257,0.0126,,EA,IMP
VANGUARD 3 DEB,1959-007B,29005,DEB,D,US,1959-09-18,AFETR,2015-02-04,93.09,33.21,469,383,0.0179,,EA,IMP
VANGUARD 3 DEB,1959-007C,31405,DEB,D,US,1959-09-18,AFETR,2014-04-03,93.59,33.22,546,354,0.0032,,EA,IMP
VANGUARD DEB,1959-001E,61446,DEB,,US,1959-02-17,AFETR,,115.68,32.86,2442,531,,,EA,ORB
