OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
BELINTERSAT-1,2016-001A,41238,PAY,+,BELA,2016-01-15,XICLF,,1436.06,0.05,35791,35781,35.8016,,EA,ORB
CZ-3B R/B,2016-001B,41239,R/B,D,PRC,2016-01-15,XICLF,2016-07-04,90.44,26.05,500,92,5.6042,,EA,IMP
JASON-3,2016-002A,41240,PAY,P,US,2016-01-17,AFWTR,,111.83,66.04,1317,1305,2.7109,,EA,ORB
IRNSS-1E,2016-003A,41241,PAY,P,IND,2016-01-20,SRILR,,1436.07,33.38,35875,35698,9.9385,,EA,ORB
PSLV R/B,2016-003B,41242,R/B,,IND,2016-01-20,SRILR,,356.02,19.13,20200,323,7.5898,,EA,ORB
INTELSAT 29E (IS-29E),2016-004A,41308,PAY,-,ITSO,2016-01-27,FRGUI,,1430.93,6.66,35700,35671,12.8176,,EA,ORB
ARIANE 5 R/B,2016-004B,41309,R/B,,FR,2016-01-27,FRGUI,,600.53,1.08,34124,277,12.1804,,EA,ORB
EUTELSAT 9B,2016-005A,41310,PAY,+,EUTE,2016-01-29,TYMSC,,1436.11,0.02,35794,35779,39.9052,,EA,ORB
BREEZE-M R/B,2016-005B,41311,R/B,,CIS,2016-01-29,TYMSC,,663.10,12.61,33834,3788,3.5604,,EA,ORB
BREEZE-M DEB [TANK],2016-005C,41312,DEB,,CIS,2016-01-29,TYMSC,,331.07,49.45,18647,302,7.6837,,EA,ORB
BEIDOU-3S M3S,2016-006A,41315,PAY,-,PRC,2016-02-01,XICLF,,773.23,56.76,21535,21521,10.1995,,EA,ORB
YZ-1 R/B,2016-006B,41316,R/B,,PRC,2016-02-01,XICLF,,899.18,56.33,29064,19900,3.8405,,EA,ORB
CZ-3C R/B,2016-006C,41325,R/B,D,PRC,2016-02-01,XICLF,2019-10-04,89.45,54.57,410,85,17.6484,,EA,IMP
NAVSTAR 76 (USA 266),2016-007A,41328,PAY,+,US,2016-02-05,AFETR,,717.94,55.57,20439,19924,26.1193,,EA,ORB
ATLAS V CENTAUR R/B,2016-007B,41329,R/B,,US,2016-02-05,AFETR,,750.78,55.74,21282,20689,2.7434,,EA,ORB
COSMOS 2514 [GLONASS-M],2016-008A,41330,PAY,+,CIS,2016-02-07,PLMSC,,675.73,64.98,19164,19096,11.2901,,EA,ORB
FREGAT R/B,2016-008B,41331,R/B,,CIS,2016-02-07,PLMSC,,687.71,65.06,19596,19265,3.1698,,EA,ORB
KMS 4,2016-009A,41332,PAY,D,NKOR,2016-02-07,YUN,2023-06-30,87.66,97.19,168,149,0.6144,,EA,IMP
UNHA 3 R/B,2016-009B,41333,R/B,D,NKOR,2016-02-07,YUN,2023-06-09,87.16,97.31,142,126,1.2920,,EA,IMP
USA 267,2016-010A,41334,PAY,+,US,2016-02-10,AFWTR,,107.35,123.00,1107,1101,,NEA,EA,ORB
SENTINEL-3A,2016-011A,41335,PAY,+,ESA,2016-02-16,PLMSC,,100.93,98.62,803,802,3.9811,,EA,ORB
BREEZE-KM R/B,2016-011B,41336,R/B,,CIS,2016-02-16,PLMSC,,94.08,98.65,566,382,3.3480,,EA,ORB
ASTRO-H (HITOMI),2016-012A,41337,PAY,-,JPN,2016-02-17,TANSC,,95.32,31.00,540,527,6.1649,,EA,ORB
CHUBUSAT-2,2016-012B,41338,PAY,-,JPN,2016-02-17,TANSC,,94.65,31.00,507,496,0.4370,,EA,ORB
CHUBUSAT-3,2016-012C,41339,PAY,-,JPN,2016-02-17,TANSC,,94.80,31.00,515,503,0.4578,,EA,ORB
HORYU-4,2016-012D,41340,PAY,D,JPN,2016-02-17,TANSC,2026-07-02,88.50,30.98,206,195,0.1183,,EA,IMP
H-2A R/B,2016-012E,41341,R/B,,JPN,2016-02-17,TANSC,,92.13,30.62,383,375,27.4086,,EA,ORB
H-2A DEB,2016-012F,41342,DEB,D,JPN,2016-02-17,TANSC,2017-01-29,91.08,30.99,339,316,0.0687,,EA,IMP
SES-9,2016-013A,41380,PAY,+,SES,2016-03-04,AFETR,,1436.10,,35796,35777,20.5325,,EA,ORB
FALCON 9 R/B,2016-013B,41381,R/B,,US,2016-03-04,AFETR,,701.19,27.37,39133,400,12.9426,,EA,ORB
EUTELSAT 65 WEST A,2016-014A,41382,PAY,+,EUTE,2016-03-09,FRGUI,,1436.10,0.05,35797,35777,47.7519,,EA,ORB
ARIANE 5 R/B,2016-014B,41383,R/B,,FR,2016-03-09,FRGUI,,410.57,0.55,23643,198,34.0412,,EA,ORB
IRNSS-1F,2016-015A,41384,PAY,P,IND,2016-03-10,SRILR,,1436.08,5.51,35866,35707,0.0030,,EA,ORB
PSLV R/B,2016-015B,41385,R/B,,IND,2016-03-10,SRILR,,310.50,17.72,17375,247,2.9901,,EA,ORB
RESURS-P 3,2016-016A,41386,PAY,D,CIS,2016-03-13,TYMSC,2023-10-17,90.97,97.17,324,320,7.6600,,EA,IMP
SL-4 R/B,2016-016B,41387,R/B,D,CIS,2016-03-13,TYMSC,2016-09-24,87.06,97.28,134,124,8.6950,,EA,IMP
EXOMARS,2016-017A,41388,PAY,+,ESA,2016-03-14,TYMSC,,,,,,,NEA,SU,ORB
BREEZE-M R/B,2016-017B,41389,R/B,,CIS,2016-03-14,TYMSC,,,,,,,NEA,SU,ORB
BREEZE-M DEB [TANK],2016-017C,41390,DEB,,CIS,2016-03-14,TYMSC,,376.30,51.67,21195,580,6.4280,,EA,ORB
SOYUZ-TMA 20M,2016-018A,41391,PAY,D,CIS,2016-03-18,TYMSC,2016-09-07,92.64,51.65,406,402,0.0030,,EA,LAN
SL-4 R/B,2016-018B,41392,R/B,D,CIS,2016-03-18,TYMSC,2016-03-21,87.54,51.64,160,145,15.1795,,EA,IMP
CYGNUS OA-6,2016-019A,41393,PAY,D,US,2016-03-23,AFETR,2016-06-22,92.32,51.64,389,387,13.6870,,EA,IMP
COSMOS 2515,2016-020A,41394,PAY,+,CIS,2016-03-24,PLMSC,,95.48,97.98,559,525,5.6180,,EA,ORB
SL-4 R/B,2016-020B,41395,R/B,D,CIS,2016-03-24,PLMSC,2018-09-06,87.08,97.65,138,121,9.3810,,EA,IMP
BEIDOU-2 IGSO-6,2016-021A,41434,PAY,+,PRC,2016-03-29,XICLF,,1435.88,60.32,36038,35527,26.1904,,EA,ORB
CZ-3A R/B,2016-021B,41435,R/B,,PRC,2016-03-29,XICLF,,601.24,55.05,32954,1484,8.5498,,EA,ORB
PROGRESS-MS 02,2016-022A,41436,PAY,D,CIS,2016-03-31,TYMSC,2016-10-14,92.61,51.65,407,398,8.8215,,EA,IMP
SL-4 R/B,2016-022B,41437,R/B,D,CIS,2016-03-31,TYMSC,2016-04-03,87.11,51.65,136,126,9.4719,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012G,41438,DEB,D,JPN,2016-02-17,TANSC,2016-04-24,92.98,31.04,438,404,0.0754,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012H,41439,DEB,D,JPN,2016-02-17,TANSC,2022-12-28,90.10,30.99,288,271,0.0335,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012J,41440,DEB,D,JPN,2016-02-17,TANSC,2021-02-04,89.82,30.90,273,258,0.4949,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012K,41441,DEB,D,JPN,2016-02-17,TANSC,2020-05-14,88.87,30.73,224,214,0.4360,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012L,41442,DEB,D,JPN,2016-02-17,TANSC,2024-10-18,87.88,30.98,173,166,1.8437,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012M,41443,DEB,D,JPN,2016-02-17,TANSC,2016-04-20,93.25,30.98,447,420,0.0030,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012N,41444,DEB,D,JPN,2016-02-17,TANSC,2022-04-20,89.80,30.97,271,258,0.0185,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012P,41445,DEB,D,JPN,2016-02-17,TANSC,2022-03-10,89.81,31.00,276,254,0.0424,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012Q,41446,DEB,D,JPN,2016-02-17,TANSC,2017-11-04,90.13,30.99,293,268,0.0092,,EA,IMP
ASTRO-H (HITOMI) DEB,2016-012R,41447,DEB,D,JPN,2016-02-17,TANSC,2022-05-14,91.74,30.96,369,350,0.0490,,EA,IMP
SHIJIAN-10 (SJ-10),2016-023A,41448,PAY,D,PRC,2016-04-05,JSC,2016-04-18,89.72,42.90,267,254,1.7637,,EA,IMP
