OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
VENERA 5,1969-001A,3642,PAY,D,CIS,1969-01-05,TYMSC,1969-05-16,,,,,,NIE,VE,IMP
SL-6 R/B,1969-001B,3643,R/B,D,CIS,1969-01-05,TYMSC,1969-01-06,88.30,51.79,197,185,,,EA,IMP
SL-6 PLAT,1969-001C,3646,DEB,D,CIS,1969-01-05,TYMSC,1969-01-07,88.61,51.80,226,186,,,EA,IMP
VENERA 6,1969-002A,3648,PAY,D,CIS,1969-01-10,TYMSC,1969-05-17,,,,,,NIE,VE,IMP
SL-6 R/B,1969-002B,3649,R/B,D,CIS,1969-01-10,TYMSC,1969-01-11,88.27,51.75,193,184,,,EA,IMP
SL-6 PLAT,1969-002C,3650,DEB,D,CIS,1969-01-10,TYMSC,1969-01-13,87.86,51.67,169,169,,,EA,IMP
COSMOS 263,1969-003A,3651,PAY,D,CIS,1969-01-12,PLMSC,1969-01-20,89.69,65.43,320,198,,,EA,IMP
SL-3 R/B,1969-003B,3652,R/B,D,CIS,1969-01-12,PLMSC,1969-01-18,87.89,65.41,185,155,,,EA,IMP
SL-3 DEB,1969-003C,3653,DEB,D,CIS,1969-01-12,PLMSC,1969-01-19,89.41,65.29,310,181,,,EA,IMP
SOYUZ 4,1969-004A,3654,PAY,D,CIS,1969-01-14,TYMSC,1969-01-17,88.80,51.70,224,206,,,EA,LAN
SL-4 R/B,1969-004B,3655,R/B,D,CIS,1969-01-14,TYMSC,1969-01-15,87.65,51.70,168,148,,,EA,IMP
SOYUZ 5,1969-005A,3656,PAY,D,CIS,1969-01-15,TYMSC,1969-01-18,88.80,51.69,228,203,,,EA,LAN
SL-4 R/B,1969-005B,3657,R/B,D,CIS,1969-01-15,TYMSC,1969-01-17,88.01,51.66,183,169,,,EA,IMP
SL-4 DEB,1969-005C,3658,DEB,D,CIS,1969-01-15,TYMSC,1969-01-18,,,,,,NIE,EA,IMP
OSO 5,1969-006A,3663,PAY,D,US,1969-01-22,AFETR,1984-04-02,87.57,32.94,156,153,1.9009,,EA,IMP
