OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1908,1988-001A,18748,PAY,D,CIS,1988-01-06,PLMSC,2026-04-07,87.35,82.42,148,138,8.6292,,EA,IMP
SL-14 R/B,1988-001B,18749,R/B,,CIS,1988-01-06,PLMSC,,96.93,82.51,625,598,4.2105,,EA,ORB
COSMOS 1909,1988-002A,18788,PAY,,CIS,1988-01-15,PLMSC,,114.03,82.61,1413,1409,1.0629,,EA,ORB
COSMOS 1910,1988-002B,18789,PAY,,CIS,1988-01-15,PLMSC,,113.96,82.60,1412,1404,1.0600,,EA,ORB
COSMOS 1911,1988-002C,18790,PAY,,CIS,1988-01-15,PLMSC,,113.89,82.61,1411,1399,1.0960,,EA,ORB
COSMOS 1912,1988-002D,18791,PAY,,CIS,1988-01-15,PLMSC,,113.83,82.61,1410,1394,1.0970,,EA,ORB
COSMOS 1913,1988-002E,18792,PAY,,CIS,1988-01-15,PLMSC,,113.77,82.60,1409,1390,0.9609,,EA,ORB
COSMOS 1914,1988-002F,18793,PAY,,CIS,1988-01-15,PLMSC,,113.70,82.61,1409,1384,1.1104,,EA,ORB
SL-14 R/B,1988-002G,18794,R/B,,CIS,1988-01-15,PLMSC,,114.69,82.61,1470,1412,4.6887,,EA,ORB
PROGRESS 34,1988-003A,18795,PAY,D,CIS,1988-01-20,TYMSC,1988-03-04,91.27,51.62,345,328,909.9400,,EA,IMP
SL-4 R/B,1988-003B,18796,R/B,D,CIS,1988-01-20,TYMSC,1988-01-23,87.49,51.64,160,140,41.8200,,EA,IMP
COSMOS 1915,1988-004A,18809,PAY,D,CIS,1988-01-26,PLMSC,1988-02-09,90.65,72.88,386,227,15.5000,,EA,IMP
SL-4 R/B,1988-004B,18810,R/B,D,CIS,1988-01-26,PLMSC,1988-02-07,87.02,72.86,135,119,45.0000,,EA,IMP
METEOR 2-17,1988-005A,18820,PAY,,CIS,1988-01-30,PLMSC,,103.92,82.54,955,933,5.0379,,EA,ORB
SL-14 R/B,1988-005B,18821,R/B,,CIS,1988-01-30,PLMSC,,103.95,82.54,955,936,3.9221,,EA,ORB
DMSP 5D-2 F9 (USA 29),1988-006A,18822,PAY,-,US,1988-02-03,AFWTR,,100.78,98.36,799,792,3.3410,,EA,ORB
COSMOS 1916,1988-007A,18823,PAY,D,CIS,1988-02-03,TYMSC,1988-02-29,87.86,64.87,201,136,42.9300,,EA,IMP
