OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
SPUTNIK 25,1963-001A,521,PAY,D,CIS,1963-01-04,TYMSC,1963-01-05,87.53,64.63,152,152,,,EA,IMP
SPUTNIK 25 DEB,1963-001B,522,DEB,D,CIS,1963-01-04,TYMSC,1963-01-11,87.98,64.75,175,174,,,EA,IMP
SPUTNIK 25 DEB,1963-001C,524,DEB,D,CIS,1963-01-04,TYMSC,1963-01-11,88.32,64.73,219,163,,,EA,IMP
FTV 1157,1963-002A,525,PAY,D,US,1963-01-07,AFWTR,1963-01-24,88.70,82.19,256,164,,,EA,IMP
FTV 1157 DEB,1963-002B,526,DEB,D,US,1963-01-07,AFWTR,1963-01-16,88.82,82.23,252,180,,,EA,IMP
FTV 2313,1963-003A,527,PAY,D,US,1963-01-16,AFWTR,1969-01-09,88.19,81.88,185,185,,,EA,IMP
FTV 2313 DEB,1963-003B,528,DEB,D,US,1963-01-16,AFWTR,1963-11-08,91.43,81.86,356,333,,,EA,IMP
FTV 2313 DEB,1963-003C,529,DEB,D,US,1963-01-16,AFWTR,1963-12-31,89.45,81.82,257,238,,,EA,IMP
DELTA 1 R/B,1963-004B,532,R/B,D,US,1963-02-14,AFETR,1981-11-02,100.76,32.55,1430,160,0.7044,,EA,IMP
FTV 0240,1963-005A,533,PAY,D,US,1963-02-19,AFWTR,1979-12-27,87.80,100.41,173,158,0.8753,,EA,IMP
SCOUT X-3M R/B,1963-005B,534,R/B,D,US,1963-02-19,AFWTR,1984-05-29,87.78,100.41,171,158,0.6518,,EA,IMP
SCOUT X-3M DEB,1963-005C,535,DEB,D,US,1963-02-19,AFWTR,1969-06-29,89.17,100.36,248,219,,,EA,IMP
SCOUT X-3M DEB,1963-005D,536,DEB,D,US,1963-02-19,AFWTR,1978-07-18,91.62,100.47,369,340,0.0436,,EA,IMP
SYNCOM 1,1963-004A,553,PAY,-,US,1963-02-14,AFETR,,1236.22,26.58,34861,28693,0.0339,,EA,ORB
COSMOS 13,1963-006A,554,PAY,D,CIS,1963-03-21,TYMSC,1963-03-29,89.66,64.91,320,195,,,EA,IMP
SL-3 R/B,1963-006B,555,R/B,D,CIS,1963-03-21,TYMSC,1963-04-09,88.25,64.85,188,188,,,EA,IMP
FTV 1660,1963-007A,562,PAY,D,US,1963-04-01,AFWTR,1963-04-26,88.73,75.40,231,193,,,EA,IMP
SL-6 R/B,1963-008A,563,R/B,D,CIS,1963-04-02,TYMSC,1963-04-03,87.99,64.77,183,167,,,EA,IMP
EXPLORER 17 (S-6),1963-009A,564,PAY,D,US,1963-04-03,AFETR,1966-11-24,87.86,57.64,186,151,,,EA,IMP
DELTA 1 R/B,1963-009B,565,R/B,D,US,1963-04-03,AFETR,1963-11-24,89.76,57.57,315,210,,,EA,IMP
LUNA 4,1963-008B,566,PAY,,CIS,1963-04-02,TYMSC,,,,,,,,EM,ORB
COSMOS 14,1963-010A,567,PAY,D,CIS,1963-04-13,KYMSC,1963-08-29,88.30,48.89,190,190,,,EA,IMP
SL-7 R/B,1963-010B,568,R/B,D,CIS,1963-04-13,KYMSC,1963-07-06,88.69,48.98,221,199,,,EA,IMP
COSMOS 15,1963-011A,569,PAY,D,CIS,1963-04-22,TYMSC,1963-04-27,89.64,64.93,348,165,,,EA,IMP
SL-3 R/B,1963-011B,570,R/B,D,CIS,1963-04-22,TYMSC,1963-05-01,88.10,64.92,207,154,,,EA,IMP
COSMOS 16,1963-012A,571,PAY,D,CIS,1963-04-28,TYMSC,1963-05-08,90.22,64.98,380,191,,,EA,IMP
SL-3 R/B,1963-012B,572,R/B,D,CIS,1963-04-28,TYMSC,1963-05-20,88.33,65.02,206,178,,,EA,IMP
TELSTAR 2 (A-41),1963-013A,573,PAY,,US,1963-05-07,AFETR,,225.25,42.76,10808,962,0.4760,,EA,ORB
MIDAS 6 (FTV 1169),1963-014A,574,PAY,,US,1963-05-09,AFWTR,,166.42,87.36,3676,3612,10.0295,,EA,ORB
DELTA 1 R/B,1963-013B,575,R/B,,US,1963-05-07,AFETR,,224.90,42.76,10782,962,0.4444,,EA,ORB
MERCURY ATLAS 9,1963-015A,576,PAY,D,US,1963-05-15,AFETR,1963-05-16,88.79,32.54,266,163,,,EA,IMP
ATLAS D R/B,1963-015B,577,R/B,D,US,1963-05-15,AFETR,1963-05-16,88.35,32.54,222,163,,,EA,IMP
FTV 1110,1963-016A,578,PAY,D,US,1963-05-18,AFWTR,1963-05-27,89.58,74.54,381,127,,,EA,IMP
ERS 5,1963-014B,579,PAY,D,US,1963-05-09,AFWTR,2011-11-11,89.33,84.23,266,216,0.1853,,EA,IMP
COSMOS 17,1963-017A,580,PAY,D,CIS,1963-05-22,KYMSC,1965-06-02,88.39,48.94,213,177,,,EA,IMP
SL-7 DEB,1963-017B,581,DEB,D,CIS,1963-05-22,KYMSC,1963-08-26,94.09,48.99,699,250,,,EA,IMP
SL-7 DEB,1963-017C,582,DEB,D,CIS,1963-05-22,KYMSC,1965-05-12,89.65,49.16,269,245,,,EA,IMP
SL-7 DEB,1963-017D,583,DEB,D,CIS,1963-05-22,KYMSC,1963-08-30,94.33,49.07,715,257,,,EA,IMP
SL-7 DEB,1963-017E,584,DEB,D,CIS,1963-05-22,KYMSC,1963-06-25,94.39,48.98,726,252,,,EA,IMP
SL-7 DEB,1963-017F,585,DEB,D,CIS,1963-05-22,KYMSC,1963-09-30,95.62,49.32,775,323,,,EA,IMP
