OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
NEW HORIZONS,2006-001A,28928,PAY,,US,2006-01-19,AFETR,,,,,,,NEA,SU,ORB
ATLAS 5 CENTAUR R/B,2006-001B,28929,R/B,,US,2006-01-19,AFETR,,,,,,,NEA,SU,ORB
ATLAS 5 STAR 48-B R/B,2006-001C,28930,R/B,,US,2006-01-19,AFETR,,,,,,,NEA,SU,ORB
ALOS (DAICHI),2006-002A,28931,PAY,-,JPN,2006-01-24,TANSC,,97.95,98.14,662,659,13.5930,,EA,ORB
H-2A R/B,2006-002B,28932,R/B,,JPN,2006-01-24,TANSC,,94.80,98.26,544,474,15.7388,,EA,ORB
ECHOSTAR 10,2006-003A,28935,PAY,+,US,2006-02-15,SEAL,,1436.09,0.06,35798,35775,22.7066,,EA,ORB
BLOCK DM-SL R/B,2006-003B,28936,R/B,,SEAL,2006-02-15,SEAL,,656.04,0.19,35606,1658,17.6544,,EA,ORB
HIMAWARI-7 (MTSAT-2),2006-004A,28937,PAY,-,JPN,2006-02-18,TANSC,,1453.41,5.94,36164,36086,25.1189,,EA,ORB
H-2A R/B,2006-004B,28938,R/B,,JPN,2006-02-18,TANSC,,450.83,28.27,25960,236,21.2244,,EA,ORB
AKARI (ASTRO-F),2006-005A,28939,PAY,D,JPN,2006-02-21,KSCUT,2023-04-11,87.11,98.15,142,121,3.7600,,EA,IMP
M-5 DEB,2006-005B,28940,DEB,D,JPN,2006-02-21,KSCUT,2006-06-05,88.51,98.15,214,187,0.0328,,EA,IMP
CUTE-1.7+APD (CO-56),2006-005C,28941,PAY,D,JPN,2006-02-21,KSCUT,2009-10-25,87.43,98.10,155,140,0.1057,,EA,IMP
M-5 R/B,2006-005D,28942,R/B,D,JPN,2006-02-21,KSCUT,2011-02-02,87.20,98.07,140,132,7.8783,,EA,IMP
ARABSAT-4A,2006-006A,28943,PAY,D,AB,2006-02-28,TYMSC,2006-03-24,273.83,51.56,14684,497,6.9759,,EA,IMP
BREEZE-M R/B,2006-006B,28944,R/B,,CIS,2006-02-28,TYMSC,,283.85,50.74,14816,1042,13.5394,,EA,ORB
SPAINSAT,2006-007A,28945,PAY,+,SPN,2006-03-11,FRGUI,,1436.10,0.73,35807,35766,26.7038,,EA,ORB
EUTELSAT HOTBIRD 13E,2006-007B,28946,PAY,-,EUTE,2006-03-11,FRGUI,,1467.60,2.26,36435,36367,16.4536,,EA,ORB
ARIANE 5 DEB [SYLDA],2006-007C,28947,DEB,,FR,2006-03-11,FRGUI,,131.44,4.73,4181,189,14.8178,,EA,ORB
ARIANE 5 R/B,2006-007D,28948,R/B,,FR,2006-03-11,FRGUI,,540.01,4.56,30901,276,26.2385,,EA,ORB
ST5-A,2006-008A,28980,PAY,-,US,2006-03-22,WRAS,,117.86,105.51,2872,297,0.3080,,EA,ORB
ST5-B,2006-008B,28981,PAY,D,US,2006-03-22,WRAS,2025-07-20,87.56,105.34,179,128,0.3140,,EA,IMP
ST5-C,2006-008C,28982,PAY,-,US,2006-03-22,WRAS,,100.56,105.46,1314,256,0.3057,,EA,ORB
PEGASUS R/B,2006-008D,28983,R/B,,US,2006-03-22,WRAS,,115.95,105.51,2704,293,1.8540,,EA,ORB
SOYUZ-TMA 8,2006-009A,28996,PAY,D,CIS,2006-03-30,TYMSC,2006-09-29,91.36,51.65,348,335,6.1181,,EA,LAN
SL-4 R/B,2006-009B,28997,R/B,D,CIS,2006-03-30,TYMSC,2006-04-02,87.29,51.63,142,139,15.1378,,EA,IMP
JCSAT-5A,2006-010A,29045,PAY,+,JPN,2006-04-12,SEAL,,1436.13,1.27,35793,35781,19.9526,,EA,ORB
BLOCK DM-SL R/B,2006-010B,29046,R/B,,SEAL,2006-04-12,SEAL,,656.28,0.11,35606,1670,19.8787,,EA,ORB
FORMOSAT-3 FM6,2006-011A,29047,PAY,-,ROC,2006-04-15,AFWTR,,100.60,71.98,821,753,0.5760,,EA,ORB
FORMOSAT-3 FM1,2006-011B,29048,PAY,-,ROC,2006-04-15,AFWTR,,100.60,71.96,816,758,0.5732,,EA,ORB
FORMOSAT-3 FM5,2006-011C,29049,PAY,-,ROC,2006-04-15,AFWTR,,100.60,72.02,810,764,0.5725,,EA,ORB
FORMOSAT-3 FM3,2006-011D,29050,PAY,-,ROC,2006-04-15,AFWTR,,98.15,72.01,701,640,0.5768,,EA,ORB
FORMOSAT-3 FM4,2006-011E,29051,PAY,-,ROC,2006-04-15,AFWTR,,100.59,72.00,834,739,0.5450,,EA,ORB
FORMOSAT-3 FM2,2006-011F,29052,PAY,-,ROC,2006-04-15,AFWTR,,100.58,72.03,813,759,0.5620,,EA,ORB
MINOTAUR R/B,2006-011G,29053,R/B,D,US,2006-04-15,AFWTR,2018-02-03,87.13,71.97,137,128,1.4220,,EA,IMP
ASTRO-F DEB [LENS COVER],2006-005E,29054,DEB,,JPN,2006-02-21,KSCUT,,98.14,98.07,676,664,0.4650,,EA,ORB
ASTRA 1KR,2006-012A,29055,PAY,+,SES,2006-04-20,AFETR,,1436.12,0.64,35802,35772,14.4313,,EA,ORB
ATLAS 5 CENTAUR R/B,2006-012B,29056,R/B,,US,2006-04-20,AFETR,,733.35,22.53,35223,5897,19.1739,,EA,ORB
PROGRESS-M 56,2006-013A,29057,PAY,D,CIS,2006-04-24,TYMSC,2006-09-19,91.38,51.64,350,334,10.1849,,EA,IMP
SL-4 R/B,2006-013B,29058,R/B,D,CIS,2006-04-24,TYMSC,2006-04-26,87.12,51.61,144,119,11.3400,,EA,IMP
EROS B,2006-014A,29079,PAY,D,ISRA,2006-04-25,SVOBO,2026-02-05,88.74,97.36,267,157,0.6450,,EA,IMP
SL-18 R/B,2006-014B,29080,R/B,D,CIS,2006-04-25,SVOBO,2017-09-03,87.19,97.57,141,129,2.1470,,EA,IMP
RSS-1 (YAOGAN-1),2006-015A,29092,PAY,,PRC,2006-04-26,TAISC,,96.79,97.75,606,604,3.6670,,EA,ORB
CZ-4B R/B,2006-015B,29093,R/B,D,PRC,2006-04-26,TAISC,2023-03-26,87.42,97.54,151,142,7.8218,,EA,IMP
CLOUDSAT,2006-016A,29107,PAY,-,US,2006-04-28,AFWTR,,96.87,98.39,613,604,3.7945,,EA,ORB
CALIPSO,2006-016B,29108,PAY,-,FR,2006-04-28,AFWTR,,98.00,98.45,664,662,2.6001,,EA,ORB
DELTA 2 R/B,2006-016C,29109,R/B,D,US,2006-04-28,AFWTR,2006-07-06,87.41,102.73,173,119,8.9751,,EA,IMP
