OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
TJS-2,2017-001A,41911,PAY,+,PRC,2017-01-05,XICLF,,1436.11,1.00,35792,35782,43.7918,,EA,ORB
CZ-3B R/B,2017-001B,41912,R/B,D,PRC,2017-01-05,XICLF,2020-01-21,88.15,26.97,254,112,9.9385,,EA,IMP
XINGYUN SHIYAN-1,2017-002A,41913,PAY,D,PRC,2017-01-09,JSC,2024-05-15,87.59,97.15,163,147,0.1140,,EA,IMP
JILIN-1 03,2017-002B,41914,PAY,+,PRC,2017-01-09,JSC,,93.32,97.20,440,435,0.4353,,EA,ORB
KAIDUN 1,2017-002C,41915,PAY,D,PRC,2017-01-09,JSC,2025-11-03,87.81,97.11,169,163,0.0490,,EA,IMP
KZ-1A R/B,2017-002D,41916,R/B,D,PRC,2017-01-09,JSC,2017-07-17,87.14,97.48,136,130,1.2958,,EA,IMP
IRIDIUM 106,2017-003A,41917,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.8038,,EA,ORB
IRIDIUM 103,2017-003B,41918,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.3920,,EA,ORB
IRIDIUM 109,2017-003C,41919,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.8040,,EA,ORB
IRIDIUM 102,2017-003D,41920,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.6252,,EA,ORB
IRIDIUM 105,2017-003E,41921,PAY,+,US,2017-01-14,AFWTR,,100.40,86.40,779,776,2.2529,,EA,ORB
IRIDIUM 104,2017-003F,41922,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.8940,,EA,ORB
IRIDIUM 114,2017-003G,41923,PAY,+,US,2017-01-14,AFWTR,,100.40,86.39,779,776,2.4372,,EA,ORB
