OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
INTELSAT 704 (IS-704),1995-001A,23461,PAY,-,ITSO,1995-01-10,AFETR,,1451.85,11.97,36148,36040,7.2487,,EA,ORB
ATLAS 2AS CENTAUR R/B,1995-001B,23462,R/B,D,US,1995-01-10,AFETR,1996-06-27,90.67,26.24,501,114,21.3117,,EA,IMP
TSIKADA,1995-002A,23463,PAY,,CIS,1995-01-24,PLMSC,,104.90,82.93,1018,962,1.3707,,EA,ORB
ASTRID 1,1995-002B,23464,PAY,,SWED,1995-01-24,PLMSC,,104.87,82.93,1018,959,0.4105,,EA,ORB
FAISAT,1995-002C,23465,PAY,,US,1995-01-24,PLMSC,,104.95,82.93,1020,965,0.6254,,EA,ORB
SL-8 R/B,1995-002D,23466,R/B,,CIS,1995-01-24,PLMSC,,104.75,82.93,1008,958,4.8672,,EA,ORB
UFO 4 (USA 108),1995-003A,23467,PAY,+,US,1995-01-29,AFETR,,1436.07,9.68,35798,35775,30.3520,,EA,ORB
ATLAS 2 CENTAUR R/B,1995-003B,23468,R/B,,US,1995-01-29,AFETR,,318.51,26.62,17853,289,15.4578,,EA,ORB
STS 63,1995-004A,23469,PAY,D,US,1995-02-03,AFETR,1995-02-11,92.31,51.65,390,386,,,EA,LAN
SPARTAN 204,1995-004B,23470,PAY,D,US,1995-02-03,AFETR,1995-02-11,92.32,51.65,389,388,,,EA,IMP
ODERACS 2A,1995-004C,23471,PAY,D,US,1995-02-03,AFETR,1996-03-13,87.13,51.61,133,131,0.0304,,EA,IMP
ODERACS 2B,1995-004D,23472,PAY,D,US,1995-02-03,AFETR,1995-09-29,88.05,51.63,179,177,0.0029,,EA,IMP
ODERACS 2C,1995-004E,23473,PAY,,US,1995-02-03,AFETR,,,,,,,NEA,EA,ORB
ODERACS 2D,1995-004F,23474,PAY,D,US,1995-02-03,AFETR,1995-03-02,89.62,51.64,265,246,0.0010,,EA,IMP
ODERACS 2E,1995-004G,23475,PAY,D,US,1995-02-03,AFETR,1995-02-27,89.82,51.63,270,261,,,EA,IMP
PROGRESS-M 26,1995-005A,23477,PAY,D,CIS,1995-02-15,TYMSC,1995-03-15,92.43,51.64,396,391,,,EA,IMP
SL-4 R/B,1995-005B,23478,R/B,D,CIS,1995-02-15,TYMSC,1995-02-17,87.12,51.60,137,126,,,EA,IMP
FOTON 10,1995-006A,23497,PAY,D,CIS,1995-02-16,PLMSC,1995-03-03,90.25,62.80,355,218,,,EA,IMP
SL-4 R/B,1995-006B,23498,R/B,D,CIS,1995-02-16,PLMSC,1995-03-12,87.26,62.78,144,134,12.1181,,EA,IMP
