OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
SAKIGAKE (MS-T5),1985-001A,15464,PAY,-,JPN,1985-01-07,KSCUT,,,,,,,NEA,SU,ORB
M-3S2 R/B(2),1985-001B,15465,R/B,,JPN,1985-01-07,KSCUT,,,,,,,NEA,SU,ORB
M-3S2 R/B(1),1985-001C,15466,R/B,D,JPN,1985-01-07,KSCUT,1985-05-22,87.59,31.05,172,138,5.3400,,EA,IMP
COSMOS 1616,1985-002A,15467,PAY,D,CIS,1985-01-09,TYMSC,1985-03-04,89.42,64.88,304,188,55.0400,,EA,IMP
SL-4 R/B,1985-002B,15468,R/B,D,CIS,1985-01-09,TYMSC,1985-01-15,87.66,64.89,182,135,45.2900,,EA,IMP
COSMOS 1617,1985-003A,15469,PAY,,CIS,1985-01-15,PLMSC,,114.05,82.61,1414,1411,1.0618,,EA,ORB
COSMOS 1618,1985-003B,15470,PAY,,CIS,1985-01-15,PLMSC,,114.01,82.60,1415,1406,0.1687,,EA,ORB
COSMOS 1619,1985-003C,15471,PAY,,CIS,1985-01-15,PLMSC,,113.72,82.61,1411,1383,1.0230,,EA,ORB
COSMOS 1620,1985-003D,15472,PAY,,CIS,1985-01-15,PLMSC,,113.83,82.60,1413,1391,0.2190,,EA,ORB
COSMOS 1621,1985-003E,15473,PAY,,CIS,1985-01-15,PLMSC,,113.88,82.61,1414,1395,0.2061,,EA,ORB
COSMOS 1622,1985-003F,15474,PAY,,CIS,1985-01-15,PLMSC,,113.94,82.61,1415,1400,0.1420,,EA,ORB
SL-14 R/B,1985-003G,15475,R/B,,CIS,1985-01-15,PLMSC,,114.72,82.61,1473,1413,5.7350,,EA,ORB
MOLNIYA 3-23,1985-004A,15476,PAY,D,CIS,1985-01-16,PLMSC,1994-12-05,119.92,63.95,3267,88,4.4981,,EA,IMP
SL-6 R/B(1),1985-004B,15477,R/B,D,CIS,1985-01-16,PLMSC,1985-03-27,87.69,62.83,169,152,20.3800,,EA,IMP
SL-6 PLAT,1985-004C,15478,DEB,D,CIS,1985-01-16,PLMSC,1985-03-21,87.33,62.82,152,132,6.6400,,EA,IMP
COSMOS 1623,1985-005A,15479,PAY,D,CIS,1985-01-16,TYMSC,1985-01-30,92.20,69.99,414,350,,,EA,IMP
SL-4 R/B,1985-005B,15480,R/B,D,CIS,1985-01-16,TYMSC,1985-02-05,87.35,69.96,151,136,49.5500,,EA,IMP
SL-6 R/B(2),1985-004D,15481,R/B,D,CIS,1985-01-16,PLMSC,1995-04-24,97.36,64.03,1195,70,8.3324,,EA,IMP
COSMOS 1624,1985-006A,15482,PAY,,CIS,1985-01-17,PLMSC,,100.42,74.04,789,768,2.0860,,EA,ORB
SL-8 R/B,1985-006B,15483,R/B,,CIS,1985-01-17,PLMSC,,100.15,74.05,779,752,4.5157,,EA,ORB
GORIZONT 11,1985-007A,15484,PAY,-,CIS,1985-01-18,TYMSC,,1436.91,9.05,35819,35786,5.0118,,EA,ORB
SL-12 R/B(1),1985-007B,15485,R/B,D,CIS,1985-01-18,TYMSC,1985-01-20,87.51,51.63,153,149,,,EA,IMP
SL-12 PLAT,1985-007C,15486,DEB,D,CIS,1985-01-18,TYMSC,1985-01-19,88.29,51.61,196,184,,,EA,IMP
SL-12 R/B(2),1985-007D,15487,R/B,,CIS,1985-01-18,TYMSC,,1397.71,7.61,35107,34956,2.1621,,EA,ORB
SL-12 R/B(AUX MOTOR),1985-007E,15488,R/B,D,CIS,1985-01-18,TYMSC,1986-02-19,94.22,46.43,847,114,0.3376,,EA,IMP
SL-12 R/B(AUX MOTOR),1985-007F,15489,R/B,D,CIS,1985-01-18,TYMSC,1996-04-20,88.76,46.60,308,119,0.8173,,EA,IMP
SL-8 DEB,1985-006C,15490,DEB,,CIS,1985-01-17,PLMSC,,98.28,74.03,680,673,0.0136,,EA,ORB
SL-8 DEB,1985-006D,15491,DEB,,CIS,1985-01-17,PLMSC,,99.20,74.04,732,709,0.0104,,EA,ORB
COSMOS 1625,1985-008A,15492,PAY,D,CIS,1985-01-23,TYMSC,1985-01-25,87.88,65.00,236,103,,,EA,IMP
SL-11 R/B,1985-008B,15493,R/B,D,CIS,1985-01-23,TYMSC,1985-01-24,88.23,65.01,267,106,,,EA,IMP
COSMOS 1626,1985-009A,15494,PAY,D,CIS,1985-01-24,PLMSC,2024-12-14,86.81,82.43,122,111,6.5080,,EA,IMP
SL-14 R/B,1985-009B,15495,R/B,,CIS,1985-01-24,PLMSC,,96.89,82.52,624,595,3.0590,,EA,ORB
STS 51C,1985-010A,15496,PAY,D,US,1985-01-24,AFETR,1985-01-27,88.40,28.47,361,30,,,EA,LAN
SL-14 DEB,1985-009C,15497,DEB,D,CIS,1985-01-24,PLMSC,1989-02-02,,,,,10.1750,,EA,IMP
COSMOS 1623 DEB,1985-005C,15498,DEB,D,CIS,1985-01-16,TYMSC,1985-11-09,88.87,69.95,228,210,3.2600,,EA,IMP
COSMOS 1623 DEB,1985-005D,15499,DEB,D,CIS,1985-01-16,TYMSC,1987-03-31,87.22,69.98,145,128,2.3260,,EA,IMP
COSMOS 1623 DEB,1985-005E,15500,DEB,D,CIS,1985-01-16,TYMSC,1985-07-22,87.57,69.96,160,148,0.8100,,EA,IMP
COSMOS 1623 DEB,1985-005F,15501,DEB,D,CIS,1985-01-16,TYMSC,1985-05-19,89.77,69.95,267,259,0.2500,,EA,IMP
COSMOS 1627,1985-011A,15505,PAY,,CIS,1985-02-01,PLMSC,,104.76,82.92,1014,952,2.5222,,EA,ORB
SL-8 R/B,1985-011B,15506,R/B,,CIS,1985-02-01,PLMSC,,104.61,82.92,1004,949,3.9660,,EA,ORB
COSMOS 1623 DEB,1985-005G,15509,DEB,D,CIS,1985-01-16,TYMSC,1985-05-26,87.92,69.96,184,160,0.3100,,EA,IMP
COSMOS 1623 DEB,1985-005H,15510,DEB,D,CIS,1985-01-16,TYMSC,1985-02-26,89.38,69.96,248,239,0.0800,,EA,IMP
COSMOS 1628,1985-012A,15514,PAY,D,CIS,1985-02-06,PLMSC,1985-02-20,92.27,72.85,414,357,,,EA,IMP
SL-4 R/B,1985-012B,15515,R/B,D,CIS,1985-02-06,PLMSC,1985-02-21,87.50,72.84,167,135,45.0600,,EA,IMP
METEOR 2-12,1985-013A,15516,PAY,,CIS,1985-02-06,PLMSC,,103.91,82.53,956,931,4.8425,,EA,ORB
SL-14 R/B,1985-013B,15517,R/B,,CIS,1985-02-06,PLMSC,,103.97,82.54,958,935,4.6003,,EA,ORB
USA 8,1985-010B,15543,PAY,,US,1985-01-24,AFETR,,1442.74,12.53,36438,35395,,,EA,ORB
IUS R/B(1),1985-010C,15544,R/B,,US,1985-01-24,AFETR,,507.73,27.93,29103,305,,,EA,ORB
IUS R/B(2),1985-010D,15545,R/B,,US,1985-01-24,AFETR,,1428.42,12.64,35760,35513,,,EA,ORB
USA 9,1985-014A,15546,PAY,,US,1985-02-08,AFWTR,,,,,,,NEA,EA,ORB
