OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
DRAGON CRS-5,2015-001A,40370,PAY,D,US,2015-01-10,AFETR,2015-02-11,92.63,51.65,407,399,8.7376,,EA,LAN
FALCON 9 R/B,2015-001B,40371,R/B,D,US,2015-01-10,AFETR,2015-01-13,88.23,51.62,211,163,6.0164,,EA,IMP
DRAGON CRS-5 DEB,2015-001C,40372,DEB,D,US,2015-01-10,AFETR,2015-01-12,88.46,51.65,223,173,0.6597,,EA,IMP
DRAGON CRS-5 DEB,2015-001D,40373,DEB,D,US,2015-01-10,AFETR,2015-01-18,87.63,51.64,173,141,2.9430,,EA,IMP
MUOS-3,2015-002A,40374,PAY,+,US,2015-01-21,AFETR,,1436.10,4.64,36024,35550,20.8608,,EA,ORB
ATLAS 5 CENTAUR R/B,2015-002B,40375,R/B,,US,2015-01-21,AFETR,,689.21,18.83,35186,3749,2.2465,,EA,ORB
SMAP,2015-003A,40376,PAY,P,US,2015-01-31,AFWTR,,98.40,98.13,683,681,4.2770,,EA,ORB
FIREBIRD 3,2015-003B,40377,PAY,D,US,2015-01-31,AFWTR,2023-08-01,87.77,99.05,169,159,0.0713,,EA,IMP
FIREBIRD 4,2015-003C,40378,PAY,D,US,2015-01-31,AFWTR,2023-08-01,87.82,99.06,171,162,0.0820,,EA,IMP
GRIFEX,2015-003D,40379,PAY,D,US,2015-01-31,AFWTR,2024-02-22,87.81,99.05,170,161,0.0584,,EA,IMP
CP10 (EXOCUBE),2015-003E,40380,PAY,D,US,2015-01-31,AFWTR,2024-06-30,87.33,99.07,149,136,0.0685,,EA,IMP
IGS 9A,2015-004A,40381,PAY,+,JPN,2015-02-01,TANSC,,94.6,97.5,511,490,3.3742,NEA,EA,ORB
