OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 1070,1979-001A,11229,PAY,D,CIS,1979-01-11,PLMSC,1979-01-20,89.34,62.80,283,201,,,EA,IMP
SL-4 R/B,1979-001B,11230,R/B,D,CIS,1979-01-11,PLMSC,1979-01-16,87.71,62.79,173,149,,,EA,IMP
SL-4 DEB,1979-001C,11231,DEB,D,CIS,1979-01-11,PLMSC,1979-01-18,88.84,62.81,242,192,,,EA,IMP
SL-4 DEB,1979-001D,11232,DEB,D,CIS,1979-01-11,PLMSC,1979-01-19,89.36,62.81,289,197,,,EA,IMP
COSMOS 1071,1979-002A,11233,PAY,D,CIS,1979-01-13,PLMSC,1979-01-26,90.07,62.81,393,163,,,EA,IMP
SL-4 DEB,1979-001E,11234,DEB,D,CIS,1979-01-11,PLMSC,1979-01-22,88.74,62.80,235,188,,,EA,IMP
SL-4 R/B,1979-002B,11235,R/B,D,CIS,1979-01-13,PLMSC,1979-01-17,88.58,62.79,253,155,,,EA,IMP
SL-4 DEB,1979-002C,11236,DEB,D,CIS,1979-01-13,PLMSC,1979-01-18,89.07,62.81,292,166,,,EA,IMP
COSMOS 1072,1979-003A,11238,PAY,,CIS,1979-01-16,PLMSC,,104.77,82.94,1012,956,3.2404,,EA,ORB
SL-8 R/B,1979-003B,11239,R/B,,CIS,1979-01-16,PLMSC,,104.64,82.94,1008,947,4.1959,,EA,ORB
MOLNIYA 3-11,1979-004A,11240,PAY,D,CIS,1979-01-18,PLMSC,1998-12-02,96.60,61.95,1110,81,17.3038,,EA,IMP
SL-6 R/B(1),1979-004B,11241,R/B,D,CIS,1979-01-18,PLMSC,1979-01-31,88.31,62.76,217,165,,,EA,IMP
SL-6 PLAT,1979-004C,11242,DEB,D,CIS,1979-01-18,PLMSC,1979-01-29,88.19,62.79,220,150,,,EA,IMP
COSMOS 1070 DEB,1979-001F,11245,DEB,D,CIS,1979-01-11,PLMSC,1979-01-27,88.70,62.81,233,187,,,EA,IMP
COSMOS 1070 DEB,1979-001G,11246,DEB,D,CIS,1979-01-11,PLMSC,1979-01-21,89.18,62.81,282,185,,,EA,IMP
COSMOS 1070 DEB,1979-001H,11247,DEB,D,CIS,1979-01-11,PLMSC,1979-01-20,89.11,62.79,262,198,,,EA,IMP
COSMOS 1071 DEB,1979-002D,11250,DEB,D,CIS,1979-01-13,PLMSC,1979-01-27,89.58,62.81,379,129,,,EA,IMP
METEOR 1-29,1979-005A,11251,PAY,D,CIS,1979-01-25,TYMSC,2024-03-01,86.80,97.70,125,106,5.4150,,EA,IMP
SL-3 R/B,1979-005B,11252,R/B,D,CIS,1979-01-25,TYMSC,2001-05-24,87.10,97.21,143,118,6.4340,,EA,IMP
COSMOS 1071 DEB,1979-002E,11253,DEB,D,CIS,1979-01-13,PLMSC,1979-01-27,88.79,62.81,311,118,,,EA,IMP
COSMOS 1071 DEB,1979-002F,11254,DEB,D,CIS,1979-01-13,PLMSC,1979-01-29,91.47,62.88,426,268,,,EA,IMP
