OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
COSMOS 888,1977-001A,9658,PAY,D,CIS,1977-01-06,TYMSC,1977-01-19,89.36,64.97,319,167,,,EA,IMP
SL-4 R/B,1977-001B,9659,R/B,D,CIS,1977-01-06,TYMSC,1977-01-11,88.14,64.99,213,151,,,EA,IMP
SL-4 DEB,1977-001C,9660,DEB,D,CIS,1977-01-06,TYMSC,1977-01-11,89.87,64.98,368,168,,,EA,IMP
METEOR 2-2,1977-002A,9661,PAY,,CIS,1977-01-06,PLMSC,,102.55,81.26,887,871,4.9155,,EA,ORB
SL-3 R/B,1977-002B,9662,R/B,,CIS,1977-01-06,PLMSC,,102.76,81.27,928,851,5.6110,,EA,ORB
SL-3 DEB,1977-002C,9663,DEB,,CIS,1977-01-06,PLMSC,,102.65,81.26,889,879,0.0104,,EA,ORB
SL-3 DEB,1977-002D,9664,DEB,,CIS,1977-01-06,PLMSC,,102.69,81.26,892,880,0.0145,,EA,ORB
COSMOS 888 DEB,1977-001D,9732,DEB,D,CIS,1977-01-06,TYMSC,1977-01-23,87.87,64.97,193,145,,,EA,IMP
COSMOS 888 DEB,1977-001E,9733,DEB,D,CIS,1977-01-06,TYMSC,1977-01-21,88.81,64.97,266,165,,,EA,IMP
COSMOS 888 DEB,1977-001F,9734,DEB,D,CIS,1977-01-06,TYMSC,1977-01-20,,,,,,,EA,IMP
COSMOS 889,1977-003A,9735,PAY,D,CIS,1977-01-20,TYMSC,1977-02-01,89.71,71.38,321,200,15.2410,,EA,IMP
SL-4 R/B,1977-003B,9736,R/B,D,CIS,1977-01-20,TYMSC,1977-02-01,88.05,71.37,187,169,42.7430,,EA,IMP
COSMOS 890,1977-004A,9737,PAY,,CIS,1977-01-20,PLMSC,,104.96,82.96,1013,972,1.6660,,EA,ORB
SL-8 R/B,1977-004B,9738,R/B,,CIS,1977-01-20,PLMSC,,104.81,82.96,997,974,4.1730,,EA,ORB
NATO 3B,1977-005A,9785,PAY,,NATO,1977-01-28,AFETR,,1511.51,8.08,37425,37075,8.6196,,EA,ORB
DELTA 1 R/B(1),1977-005B,9786,R/B,,US,1977-01-28,AFETR,,103.10,28.01,1203,607,8.9462,,EA,ORB
DELTA 1 R/B(2),1977-005C,9787,R/B,D,US,1977-01-28,AFETR,1981-02-06,95.22,26.35,940,119,2.2900,,EA,IMP
COSMOS 891,1977-006A,9801,PAY,D,CIS,1977-02-02,PLMSC,1981-02-04,87.12,65.79,138,125,4.5572,,EA,IMP
SL-8 R/B,1977-006B,9802,R/B,D,CIS,1977-02-02,PLMSC,1979-12-18,86.80,65.79,119,112,13.6572,,EA,IMP
OPS 3151 (DSP 7),1977-007A,9803,PAY,-,US,1977-02-06,AFETR,,1476.47,4.56,36905,36242,,,EA,ORB
SOYUZ 24,1977-008A,9804,PAY,D,CIS,1977-02-07,TYMSC,1977-02-25,89.58,51.60,261,247,,,EA,LAN
SL-4 R/B,1977-008B,9805,R/B,D,CIS,1977-02-07,TYMSC,1977-02-12,88.25,51.62,220,156,,,EA,IMP
SL-4 DEB,1977-008C,9806,DEB,D,CIS,1977-02-07,TYMSC,1977-02-12,89.39,51.61,313,175,,,EA,IMP
TITAN 3C R/B(1),1977-007B,9808,R/B,D,US,1977-02-06,AFETR,1977-02-06,,,,,,NEA,EA,IMP
DELTA 1 DEB,1977-005D,9809,DEB,,US,1977-01-28,AFETR,,,,,,,NEA,EA,ORB
DELTA 1 DEB,1977-005E,9810,DEB,,US,1977-01-28,AFETR,,,,,,,NEA,EA,ORB
DELTA 1 DEB,1977-005F,9811,DEB,,US,1977-01-28,AFETR,,,,,,,NEA,EA,ORB
COSMOS 892,1977-009A,9812,PAY,D,CIS,1977-02-09,PLMSC,1977-02-22,89.62,72.86,345,166,,,EA,IMP
SL-4 R/B,1977-009B,9813,R/B,D,CIS,1977-02-09,PLMSC,1977-02-15,88.46,72.85,253,144,,,EA,IMP
SL-4 DEB,1977-009C,9814,DEB,D,CIS,1977-02-09,PLMSC,1977-02-10,89.12,72.85,313,149,,,EA,IMP
MOLNIYA 2-17,1977-010A,9829,PAY,D,CIS,1977-02-11,PLMSC,2020-01-06,90.56,61.43,534,70,12.2472,,EA,IMP
SL-6 R/B(1),1977-010B,9830,R/B,D,CIS,1977-02-11,PLMSC,1977-03-13,88.00,62.82,190,160,,,EA,IMP
SL-6 PLAT,1977-010C,9831,DEB,D,CIS,1977-02-11,PLMSC,1977-03-02,88.73,62.81,259,164,,,EA,IMP
SL-6 DEB,1977-010D,9832,DEB,D,CIS,1977-02-11,PLMSC,1977-02-27,89.14,62.80,292,172,,,EA,IMP
COSMOS 893,1977-011A,9833,PAY,D,CIS,1977-02-15,PLMSC,1984-10-06,87.41,73.87,161,132,26.0942,,EA,IMP
SL-8 DEB,1977-011B,9834,DEB,D,CIS,1977-02-15,PLMSC,1978-04-17,91.92,73.92,467,270,,,EA,IMP
TANSEI-3 (MS-T3),1977-012A,9841,PAY,-,JPN,1977-02-19,KSCUT,,134.09,65.76,3805,795,1.4266,,EA,ORB
M-3H R/B,1977-012B,9842,R/B,D,JPN,1977-02-19,KSCUT,1979-03-20,88.25,65.45,196,179,2.2124,,EA,IMP
TANSEI-3 DEB,1977-012C,9843,DEB,,JPN,1977-02-19,KSCUT,,133.96,65.75,3796,793,0.2220,,EA,ORB
M-3H DEB,1977-012D,9844,DEB,D,JPN,1977-02-19,KSCUT,1978-05-15,91.12,64.94,394,265,0.0615,,EA,IMP
COSMOS 892 DEB,1977-009D,9845,DEB,D,CIS,1977-02-09,PLMSC,1977-02-26,87.49,72.84,166,135,,,EA,IMP
COSMOS 894,1977-013A,9846,PAY,,CIS,1977-02-21,PLMSC,,104.79,82.94,1007,962,3.1350,,EA,ORB
COSMOS 892 DEB,1977-009E,9847,DEB,D,CIS,1977-02-09,PLMSC,1977-02-24,88.19,72.85,210,160,,,EA,IMP
SL-8 R/B,1977-013B,9848,R/B,,CIS,1977-02-21,PLMSC,,104.67,82.95,990,968,4.4611,,EA,ORB
COSMOS 892 DEB,1977-009F,9849,DEB,D,CIS,1977-02-09,PLMSC,1977-02-23,89.40,72.86,324,165,,,EA,IMP
SL-6 R/B(2),1977-010E,9850,R/B,D,CIS,1977-02-11,PLMSC,2019-12-11,95.34,61.54,955,115,7.6075,,EA,IMP
COSMOS 892 DEB,1977-009G,9851,DEB,D,CIS,1977-02-09,PLMSC,1977-02-23,89.05,72.85,291,164,,,EA,IMP
KIKU-2 (ETS-II),1977-014A,9852,PAY,-,JPN,1977-02-23,TANSC,,1439.87,5.12,35866,35855,1.5887,,EA,ORB
COSMOS 895,1977-015A,9853,PAY,D,CIS,1977-02-26,PLMSC,1992-03-22,87.56,81.13,158,149,23.8590,,EA,IMP
SL-3 R/B,1977-015B,9854,R/B,D,CIS,1977-02-26,PLMSC,2000-02-14,87.28,81.11,145,134,10.1472,,EA,IMP
TITAN 3C TRANSTAGE R/B,1977-007C,9855,R/B,,US,1977-02-06,AFETR,,1435.10,3.23,35834,35700,,,EA,ORB
OPS 3151 DEB,1977-007D,9856,DEB,,US,1977-02-06,AFETR,,,,,,,NEA,EA,ORB
COSMOS 896,1977-016A,9857,PAY,D,CIS,1977-03-03,PLMSC,1977-03-16,89.58,72.89,332,175,,,EA,IMP
SL-4 R/B,1977-016B,9858,R/B,D,CIS,1977-03-03,PLMSC,1977-03-04,87.77,72.88,172,156,,,EA,IMP
N-1 R/B,1977-014B,9859,R/B,D,JPN,1977-02-23,TANSC,1992-09-19,89.62,23.42,384,127,1.5782,,EA,IMP
