OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
SHENZHOU-2 (SZ-2),2001-001A,26664,PAY,D,PRC,2001-01-09,JSC,2001-01-16,91.28,42.58,345,330,19.0000,,EA,LAN
CZ-2F R/B,2001-001B,26665,R/B,D,PRC,2001-01-09,JSC,2001-01-21,87.30,42.54,154,127,14.0000,,EA,IMP
TURKSAT 2A,2001-002A,26666,PAY,-,TURK,2001-01-10,FRGUI,,1466.27,9.11,36405,36345,3.9703,,EA,ORB
ARIANE 44P R/B,2001-002B,26667,R/B,D,FR,2001-01-10,FRGUI,2001-01-11,648.99,6.51,36742,163,15.8000,,EA,IMP
SZ-2 MODULE,2001-001C,26687,PAY,D,PRC,2001-01-09,JSC,2001-08-24,87.42,42.57,151,142,9.5862,,EA,IMP
PROGRESS-M1 5,2001-003A,26688,PAY,D,CIS,2001-01-24,TYMSC,2001-03-23,88.15,51.64,215,151,15.3955,,EA,IMP
SL-4 R/B,2001-003B,26689,R/B,D,CIS,2001-01-24,TYMSC,2001-01-26,87.31,51.62,145,138,19.0000,,EA,IMP
NAVSTAR 50 (USA 156),2001-004A,26690,PAY,-,US,2001-01-30,AFETR,,751.61,55.27,21011,20999,2.5119,,EA,ORB
DELTA 2 R/B(1),2001-004B,26691,R/B,D,US,2001-01-30,AFETR,2001-03-17,88.28,32.57,252,127,9.9013,,EA,IMP
DELTA 2 R/B(2) [PAM-D],2001-004C,26692,R/B,D,US,2001-01-30,AFETR,2004-08-26,88.97,38.63,323,125,3.1622,,EA,IMP
SICRAL 1,2001-005A,26694,PAY,-,IT,2001-02-07,FRGUI,,1436.1,4.7,35803,35771,26.3777,NEA,EA,ORB
SKYNET 4F,2001-005B,26695,PAY,-,UK,2001-02-07,FRGUI,,1436.19,9.74,35799,35775,3.9811,,EA,ORB
ARIANE 44L R/B,2001-005C,26696,R/B,,FR,2001-02-07,FRGUI,,522.67,7.37,29918,314,22.5730,,EA,ORB
ARIANE DEB [SPELDA],2001-005D,26697,DEB,D,FR,2001-02-07,FRGUI,2005-04-28,89.08,6.68,339,119,6.3095,,EA,IMP
STS 98,2001-006A,26698,PAY,D,US,2001-02-07,AFETR,2001-02-20,92.11,51.58,386,370,18.5000,,EA,LAN
ISS (DESTINY),2001-006B,26700,PAY,+,ISS,2001-02-07,AFETR,,92.93,51.63,423,413,15.0000,,25544,DOC
ODIN,2001-007A,26702,PAY,D,SWED,2001-02-20,SVOBO,2026-08-03,87.57,97.35,163,146,1.1550,,EA,IMP
SL-18 R/B,2001-007B,26703,R/B,,CIS,2001-02-20,SVOBO,,95.49,97.68,549,535,2.2490,,EA,ORB
SL-18 DEB,2001-007C,26704,DEB,D,CIS,2001-02-20,SVOBO,2001-03-08,90.77,97.78,341,283,0.1100,,EA,IMP
SL-18 DEB,2001-007D,26705,DEB,D,CIS,2001-02-20,SVOBO,2001-03-05,89.02,97.72,243,210,0.3660,,EA,IMP
SL-18 DEB,2001-007E,26706,DEB,D,CIS,2001-02-20,SVOBO,2001-03-11,90.86,97.76,342,292,0.7100,,EA,IMP
SL-18 DEB,2001-007F,26707,DEB,D,CIS,2001-02-20,SVOBO,2001-03-12,89.86,97.81,288,248,0.0348,,EA,IMP
SL-18 DEB,2001-007G,26708,DEB,D,CIS,2001-02-20,SVOBO,2002-12-31,88.51,97.72,202,200,0.2368,,EA,IMP
SL-18 DEB,2001-007H,26709,DEB,D,CIS,2001-02-20,SVOBO,2001-03-08,92.12,97.79,422,335,0.0800,,EA,IMP
SL-18 DEB,2001-007J,26712,DEB,D,CIS,2001-02-20,SVOBO,2001-03-08,91.36,97.80,366,317,0.1230,,EA,IMP
PROGRESS-M 44,2001-008A,26713,PAY,D,CIS,2001-02-26,TYMSC,2001-04-16,92.25,51.57,393,376,14.0574,,EA,IMP
SL-4 R/B,2001-008B,26714,R/B,D,CIS,2001-02-26,TYMSC,2001-02-28,87.09,51.64,136,125,3.2000,,EA,IMP
USA 157 (MILSTAR-2 2),2001-009A,26715,PAY,+,US,2001-02-27,AFETR,,1436.16,11.61,35965,35611,,,EA,ORB
TITAN 4 CENTAUR R/B,2001-009B,26716,R/B,,US,2001-02-27,AFETR,,1432.90,12.68,35787,35661,,,EA,ORB
STS 102,2001-010A,26718,PAY,D,US,2001-03-08,AFETR,2001-03-21,91.96,51.57,379,362,,,EA,LAN
EUTELSAT 133 WEST A,2001-011A,26719,PAY,-,EUTE,2001-03-08,FRGUI,,1457.61,7.54,36221,36192,12.5012,,EA,ORB
BSAT-2A,2001-011B,26720,PAY,P,JPN,2001-03-08,FRGUI,,1451.91,10.87,36118,36073,15.8866,,EA,ORB
ARIANE 5 R/B,2001-011C,26721,R/B,,FR,2001-03-08,FRGUI,,641.23,1.49,35624,884,24.1248,,EA,ORB
ARIANE 5 DEB [SYLDA],2001-011D,26722,DEB,,FR,2001-03-08,FRGUI,,645.82,2.00,35893,850,15.1070,,EA,ORB
STS 102 DEB [PAD],2001-010B,26723,DEB,D,US,2001-03-08,AFETR,2001-06-07,87.86,51.55,170,167,0.1037,,EA,IMP
XM-2 (ROCK),2001-012A,26724,PAY,-,US,2001-03-18,SEAL,,1453.29,9.74,36160,36085,25.1188,,EA,ORB
BLOCK DM-SL R/B,2001-012B,26725,R/B,,SEAL,2001-03-18,SEAL,,644.06,1.32,35748,905,20.6412,,EA,ORB
MARS ODYSSEY,2001-013A,26734,PAY,X,US,2001-04-07,AFETR,,,,,,,NEA,MA,ORB
MARS ODYSSEY R/B [PAM-D],2001-013B,26735,R/B,,US,2001-04-07,AFETR,,,,,,,NEA,SU,ORB
EKRAN 21,2001-014A,26736,PAY,-,CIS,2001-04-07,TYMSC,,1445.96,14.69,36101,35857,25.1188,,EA,ORB
BREEZE-M DEB [TANK],2001-014B,26737,DEB,D,CIS,2001-04-07,TYMSC,2011-04-24,89.13,48.25,370,93,6.5839,,EA,IMP
BREEZE-M R/B,2001-014C,26738,R/B,,CIS,2001-04-07,TYMSC,,1469.90,15.31,37215,35676,0.7104,,EA,ORB
DELTA 2 R/B,2001-013C,26739,R/B,D,US,2001-04-07,AFETR,2001-07-09,87.40,39.96,171,121,11.9774,,EA,IMP
GSAT-1,2001-015A,26745,PAY,-,IND,2001-04-18,SRILR,,1387.00,12.82,35783,33857,3.1622,,EA,ORB
GSLV R/B,2001-015B,26746,R/B,D,IND,2001-04-18,SRILR,2003-01-18,97.05,18.99,1130,104,6.3095,,EA,IMP
STS 100,2001-016A,26747,PAY,D,US,2001-04-19,AFETR,2001-05-01,92.38,51.57,404,378,,,EA,LAN
SOYUZ-TM 32,2001-017A,26749,PAY,D,CIS,2001-04-28,TYMSC,2001-10-31,92.37,51.63,397,385,6.2200,,EA,LAN
SL-4 R/B,2001-017B,26750,R/B,D,CIS,2001-04-28,TYMSC,2001-04-29,87.48,51.62,155,144,,,EA,IMP
XM-1 (ROLL),2001-018A,26761,PAY,-,US,2001-05-08,SEAL,,1454.41,9.00,36162,36127,25.1189,,EA,ORB
BLOCK DM-SL R/B,2001-018B,26762,R/B,,SEAL,2001-05-08,SEAL,,643.29,1.25,35702,911,21.0465,,EA,ORB
INTELSAT 10 (IS-10),2001-019A,26766,PAY,-,US,2001-05-15,TYMSC,,1453.96,9.23,36138,36133,79.4328,,EA,ORB
SL-12 R/B(1),2001-019B,26767,R/B,D,CIS,2001-05-15,TYMSC,2001-05-16,87.24,51.60,153,123,27.7800,,EA,IMP
SL-12 PLAT,2001-019C,26768,DEB,D,CIS,2001-05-15,TYMSC,2001-05-16,86.52,51.59,102,102,10.7000,,EA,IMP
BLOCK DM R/B,2001-019D,26769,R/B,,CIS,2001-05-15,TYMSC,,771.29,18.60,35895,7067,28.3499,,EA,ORB
USA 158,2001-020A,26770,PAY,-,US,2001-05-18,AFETR,,,,,,,NEA,EA,ORB
DELTA 2 R/B(1),2001-020B,26771,R/B,D,US,2001-05-18,AFETR,2001-10-21,87.36,24.72,176,111,9.9168,,EA,IMP
DELTA 2 R/B(2),2001-020C,26772,R/B,D,US,2001-05-18,AFETR,2002-11-14,,,,,1.2589,,EA,IMP
PROGRESS-M1 6,2001-021A,26773,PAY,D,CIS,2001-05-20,TYMSC,2001-08-22,92.48,51.64,402,391,11.4095,,EA,IMP
SL-4 R/B,2001-021B,26774,R/B,D,CIS,2001-05-20,TYMSC,2001-05-22,87.31,51.62,144,139,18.4125,,EA,IMP
COSMOS 2377,2001-022A,26775,PAY,D,CIS,2001-05-29,PLMSC,2001-10-10,88.81,67.06,261,170,11.9243,,EA,IMP
SL-4 R/B,2001-022B,26776,R/B,D,CIS,2001-05-29,PLMSC,2001-06-02,87.38,67.10,166,124,12.3612,,EA,IMP
COSMOS 2378,2001-023A,26818,PAY,-,CIS,2001-06-08,PLMSC,,104.79,82.93,1008,961,1.8842,,EA,ORB
SL-8 R/B,2001-023B,26819,R/B,,CIS,2001-06-08,PLMSC,,104.66,82.93,995,961,5.0877,,EA,ORB
INTELSAT 901 (IS-901),2001-024A,26824,PAY,-,ITSO,2001-06-09,FRGUI,,1457.18,1.42,36220,36177,15.9919,,EA,ORB
ARIANE 44L R/B,2001-024B,26825,R/B,D,FR,2001-06-09,FRGUI,2001-10-09,115.70,7.06,2875,99,10.0000,,EA,IMP
ASTRA 2C,2001-025A,26853,PAY,-,SES,2001-06-16,TYMSC,,1454.00,8.35,36150,36122,4.4668,,EA,ORB
SL-12 R/B(1),2001-025B,26854,R/B,D,CIS,2001-06-16,TYMSC,2001-06-18,87.56,51.60,171,136,10.0000,,EA,IMP
SL-12 R/B(2),2001-025C,26855,R/B,,CIS,2001-06-16,TYMSC,,779.26,15.19,35662,7684,1.9952,,EA,ORB
SL-12 PLAT,2001-025D,26856,DEB,D,CIS,2001-06-16,TYMSC,2001-06-16,87.18,51.58,140,129,6.0000,,EA,IMP
OMNI-M1,2001-026A,26857,PAY,P,NICO,2001-06-19,AFETR,,366.97,44.82,10624,10578,33.1830,,EA,ORB
ATLAS 2AS CENTAUR R/B,2001-026B,26858,R/B,,US,2001-06-19,AFETR,,346.40,45.03,10114,9807,28.9330,,EA,ORB
WMAP (MAP),2001-027A,26859,PAY,-,US,2001-06-30,AFETR,,,,,,,NEA,SU,ORB
DELTA 2 R/B,2001-027B,26860,R/B,D,US,2001-06-30,AFETR,2001-07-07,87.16,26.87,136,132,17.5000,,EA,IMP
STS 104,2001-028A,26862,PAY,D,US,2001-07-12,AFETR,2001-07-25,92.29,51.56,395,378,,,EA,LAN
ARTEMIS,2001-029A,26863,PAY,-,ESA,2001-07-12,FRGUI,,1450.26,14.80,36124,36003,19.9526,,EA,ORB
BSAT-2B,2001-029B,26864,PAY,D,JPN,2001-07-12,FRGUI,2014-01-28,89.30,2.97,371,110,4.4388,,EA,IMP
ARIANE 5 R/B,2001-029C,26865,R/B,D,FR,2001-07-12,FRGUI,2012-11-22,89.23,3.23,354,119,22.0920,,EA,IMP
ARIANE 5 DEB [SYLDA],2001-029D,26866,DEB,D,FR,2001-07-12,FRGUI,2010-10-06,95.56,2.95,921,171,15.7417,,EA,IMP
MOLNIYA 3-51,2001-030A,26867,PAY,D,CIS,2001-07-20,PLMSC,2016-12-19,91.66,62.39,634,78,12.0254,,EA,IMP
SL-6 R/B(1),2001-030B,26868,R/B,D,CIS,2001-07-20,PLMSC,2001-08-12,87.43,62.82,156,138,14.1600,,EA,IMP
SL-6 PLAT,2001-030C,26869,DEB,D,CIS,2001-07-20,PLMSC,2001-08-01,87.07,62.80,139,120,2.6400,,EA,IMP
SL-6 R/B(2),2001-030D,26870,R/B,D,CIS,2001-07-20,PLMSC,2018-03-17,88.31,62.19,292,90,5.9498,,EA,IMP
GOES 12,2001-031A,26871,PAY,-,US,2001-07-23,AFETR,,1452.50,12.30,36129,36085,12.8777,,EA,ORB
ATLAS 2A CENTAUR R/B,2001-031B,26872,R/B,D,US,2001-07-23,AFETR,2002-01-29,100.33,20.16,1445,104,19.9526,,EA,IMP
CORONAS F,2001-032A,26873,PAY,D,CIS,2001-07-31,PLMSC,2005-12-06,87.65,82.44,161,155,15.5277,,EA,IMP
SL-14 R/B,2001-032B,26874,R/B,D,CIS,2001-07-31,PLMSC,2017-04-27,86.91,82.43,128,114,3.9417,,EA,IMP
SL-14 DEB,2001-032C,26875,DEB,D,CIS,2001-07-31,PLMSC,2001-12-03,87.41,82.46,156,136,0.0565,,EA,IMP
SL-14 DEB,2001-032D,26876,DEB,D,CIS,2001-07-31,PLMSC,2001-11-03,90.62,82.45,316,294,0.0137,,EA,IMP
SL-14 DEB,2001-032E,26877,DEB,D,CIS,2001-07-31,PLMSC,2001-12-05,88.38,82.44,205,183,0.0460,,EA,IMP
SL-14 DEB,2001-032F,26878,DEB,D,CIS,2001-07-31,PLMSC,2001-10-31,90.94,82.46,330,311,0.0600,,EA,IMP
SL-6 DEB,2001-030E,26879,DEB,D,CIS,2001-07-20,PLMSC,2001-08-05,88.25,62.82,223,153,0.0170,,EA,IMP
USA 159 (DSP 21),2001-033A,26880,PAY,-,US,2001-08-06,AFETR,,1451.59,12.84,36099,36080,,,EA,ORB
TITAN 4B R/B,2001-033B,26881,R/B,D,US,2001-08-06,AFETR,2001-10-13,87.83,28.61,203,131,17.6011,,EA,IMP
IUS R/B(1),2001-033C,26882,R/B,,US,2001-08-06,AFETR,,572.60,28.54,32618,309,,,EA,ORB
IUS R/B(2),2001-033D,26883,R/B,,US,2001-08-06,AFETR,,1441.49,12.99,35919,35865,,,EA,ORB
GENESIS,2001-034A,26884,PAY,-,US,2001-08-08,AFETR,,,,,,,NEA,SU,ORB
DELTA 2 R/B(1),2001-034B,26885,R/B,D,US,2001-08-08,AFETR,2002-07-01,87.86,26.79,211,127,15.1328,,EA,IMP
DELTA 2 R/B(2),2001-034C,26886,R/B,,US,2001-08-08,AFETR,,,,,,,NEA,SU,ORB
USA 159 DEB,2001-033E,26887,DEB,,US,2001-08-06,AFETR,,,,,,,NEA,EA,ORB
STS 105,2001-035A,26888,PAY,D,US,2001-08-10,AFETR,2001-08-22,92.30,51.64,402,373,,,EA,LAN
SIMPLESAT 1,2001-035B,26889,PAY,D,US,2001-08-10,AFETR,2002-01-30,87.14,51.62,135,130,0.1784,,EA,IMP
PROGRESS-M 45,2001-036A,26890,PAY,D,CIS,2001-08-21,TYMSC,2001-11-22,92.20,51.64,389,376,7.9400,,EA,IMP
SL-4 R/B,2001-036B,26891,R/B,D,CIS,2001-08-21,TYMSC,2001-08-23,87.62,51.63,163,150,15.8500,,EA,IMP
COSMOS 2379,2001-037A,26892,PAY,-,CIS,2001-08-24,TYMSC,,1436.51,13.32,35820,35769,5.1246,,EA,ORB
SL-12 R/B(1),2001-037B,26893,R/B,D,CIS,2001-08-24,TYMSC,2001-08-27,86.95,51.63,126,121,24.1000,,EA,IMP
SL-12 PLAT,2001-037C,26894,DEB,D,CIS,2001-08-24,TYMSC,2001-08-25,87.28,51.60,141,139,3.6000,,EA,IMP
SL-12 R/B(2),2001-037D,26895,R/B,,CIS,2001-08-24,TYMSC,,1437.01,13.32,35888,35721,1.9952,,EA,ORB
SL-12 R/B(AUX MOTOR),2001-037E,26896,R/B,D,CIS,2001-08-24,TYMSC,2002-06-07,93.66,47.03,806,102,0.7995,,EA,IMP
SL-12 R/B(AUX MOTOR),2001-037F,26897,R/B,D,CIS,2001-08-24,TYMSC,2004-12-28,87.03,46.96,167,87,0.8135,,EA,IMP
LRE,2001-038A,26898,PAY,,JPN,2001-08-29,TANSC,,540.36,28.44,30981,215,0.4383,,EA,ORB
H-2A R/B,2001-038B,26899,R/B,,JPN,2001-08-29,TANSC,,540.25,28.05,30959,231,20.0126,,EA,ORB
INTELSAT 902 (IS-902),2001-039A,26900,PAY,+,ITSO,2001-08-30,FRGUI,,1436.10,6.28,35804,35769,14.1589,,EA,ORB
ARIANE 44L R/B,2001-039B,26901,R/B,,FR,2001-08-30,FRGUI,,417.29,7.71,23939,301,21.0074,,EA,ORB
SL-12 DEB,2001-037G,26902,DEB,D,CIS,2001-08-24,TYMSC,2001-08-29,90.04,51.60,395,159,,,EA,IMP
SL-12 DEB,2001-037H,26903,DEB,D,CIS,2001-08-24,TYMSC,2001-08-31,89.43,51.59,342,151,,,EA,IMP
USA 160,2001-040A,26905,PAY,-,US,2001-09-08,AFWTR,,107.33,63.37,1595,611,,NEA,EA,ORB
ATLAS 2AS CENTAUR R/B,2001-040B,26906,R/B,,US,2001-09-08,AFWTR,,107.04,63.42,1563,617,,,EA,ORB
USA 160 DEB,2001-040C,26907,DEB,,US,2001-09-08,AFWTR,,107.28,63.37,1592,609,,NEA,EA,ORB
PROGRESS-DC 1,2001-041A,26908,PAY,D,CIS,2001-09-14,TYMSC,2001-09-27,91.17,51.63,335,329,,,EA,IMP
SL-4 R/B,2001-041B,26909,R/B,D,CIS,2001-09-14,TYMSC,2001-09-16,87.59,51.61,156,154,11.9000,,EA,IMP
EUTELSAT 12 WEST B,2001-042A,26927,PAY,-,EUTE,2001-09-25,FRGUI,,1461.50,6.78,36299,36266,14.2528,,EA,ORB
ARIANE 44P R/B,2001-042B,26928,R/B,D,FR,2001-09-25,FRGUI,2002-08-11,93.51,7.26,786,107,20.0000,,EA,IMP
STARSHINE 3 & SO-43,2001-043A,26929,PAY,D,US,2001-09-30,KODAK,2003-01-21,87.21,67.01,138,135,0.5445,,EA,IMP
PICOSAT 9,2001-043B,26930,PAY,,US,2001-09-30,KODAK,,100.59,67.00,793,780,0.4017,,EA,ORB
PCSAT (NO-44),2001-043C,26931,PAY,P,US,2001-09-30,KODAK,,100.56,67.05,789,781,0.1788,,EA,ORB
SAPPHIRE (NO-45),2001-043D,26932,PAY,-,US,2001-09-30,KODAK,,100.61,67.05,791,784,0.2786,,EA,ORB
