OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
ELEKTRO-L 1 (GOMS 2),2011-001A,37344,PAY,-,CIS,2011-01-20,TYMSC,,1437.51,9.83,35832,35797,47.6126,,EA,ORB
FREGAT R/B,2011-001B,37345,R/B,,CIS,2011-01-20,TYMSC,,1400.79,10.36,35723,34463,8.5690,,EA,ORB
SL-23 R/B,2011-001C,37346,R/B,D,CIS,2011-01-20,TYMSC,2011-03-19,87.11,51.39,150,113,5.7568,,EA,IMP
FREGAT DEB (TANK),2011-001D,37347,DEB,,CIS,2011-01-20,TYMSC,,109.09,50.30,2081,288,3.9370,,EA,ORB
USA 224,2011-002A,37348,PAY,+,US,2011-01-20,AFWTR,,96.70,97.94,948,258,,NEA,EA,ORB
HTV-2 (KOUNOTORI 2),2011-003A,37351,PAY,D,JPN,2011-01-22,TANSC,2011-03-30,91.48,51.65,348,346,17.2216,,EA,IMP
SL-23 DEB,2011-001E,37354,DEB,D,CIS,2011-01-20,TYMSC,2011-03-05,87.85,51.31,191,145,0.0810,,EA,IMP
SL-23 DEB,2011-001F,37355,DEB,D,CIS,2011-01-20,TYMSC,2011-02-15,88.28,51.32,237,142,0.0800,,EA,IMP
SL-23 DEB,2011-001G,37356,DEB,D,CIS,2011-01-20,TYMSC,2011-02-15,87.62,51.25,192,121,0.0940,,EA,IMP
SL-23 DEB,2011-001H,37357,DEB,D,CIS,2011-01-20,TYMSC,2011-03-06,88.58,51.31,259,149,0.0924,,EA,IMP
PROGRESS-M 09M,2011-004A,37359,PAY,D,CIS,2011-01-28,TYMSC,2011-04-26,90.67,51.65,345,270,6.9340,,EA,IMP
SL-4 R/B,2011-004B,37360,R/B,D,CIS,2011-01-28,TYMSC,2011-01-31,87.10,51.64,139,123,5.7050,,EA,IMP
GEO-IK 2,2011-005A,37362,PAY,D,CIS,2011-02-01,PLMSC,2013-07-15,87.07,99.36,137,121,3.5689,,EA,IMP
SL-19 R/B,2011-005B,37363,R/B,,CIS,2011-02-01,PLMSC,,91.63,99.36,416,293,4.9050,,EA,ORB
USA 225,2011-006A,37364,PAY,+,US,2011-02-06,AFWTR,,109.78,90.18,1231,1202,,NEA,EA,ORB
MINOTAUR R/B,2011-006B,37365,R/B,,US,2011-02-06,AFWTR,,109.77,90.18,1229,1203,,NEA,EA,ORB
USA 225 DEB,2011-006C,37366,DEB,,US,2011-02-06,AFWTR,,,,,,,NEA,EA,ORB
