OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
RANGER 3,1962-001A,221,PAY,,US,1962-01-26,AFETR,,,,,,,NEA,SU,ORB
ATLAS AGENA B R/B,1962-001B,222,R/B,,US,1962-01-26,AFETR,,,,,,0.0038,NEA,SU,ORB
TIROS 4,1962-002A,226,PAY,-,US,1962-02-08,AFETR,,99.50,48.30,789,681,0.8120,,EA,ORB
DELTA 1 DEB [YO],1962-002B,227,DEB,,US,1962-02-08,AFETR,,99.94,48.15,847,665,0.0470,,EA,ORB
DELTA 1 DEB [YO],1962-002C,228,DEB,,US,1962-02-08,AFETR,,92.46,48.43,396,395,0.0450,,EA,ORB
DELTA 1 R/B,1962-002D,229,R/B,D,US,1962-02-08,AFETR,2002-08-10,87.73,48.22,164,160,0.5271,,EA,IMP
MERCURY ATLAS 6,1962-003A,240,PAY,D,US,1962-02-20,AFETR,1962-02-20,88.48,32.54,249,150,,,EA,IMP
ATLAS D R/B,1962-003B,241,R/B,D,US,1962-02-20,AFETR,1962-02-21,88.13,32.57,211,153,,,EA,IMP
FTV 2301,1962-004A,242,PAY,D,US,1962-02-21,AFWTR,1962-03-04,88.39,81.94,220,169,,,EA,IMP
DISCOVERER 38,1962-005A,247,PAY,D,US,1962-02-27,AFWTR,1962-03-21,88.32,82.23,201,182,,,EA,IMP
DISCOVERER 38 DEB,1962-005B,248,DEB,D,US,1962-02-27,AFWTR,1962-03-03,88.95,82.23,237,208,,,EA,IMP
DISCOVERER 38 DEB,1962-005C,249,DEB,D,US,1962-02-27,AFWTR,1962-03-03,89.09,82.23,251,208,,,EA,IMP
DISCOVERER 38 DEB,1962-005D,251,DEB,D,US,1962-02-27,AFWTR,1962-03-07,89.65,82.23,306,208,,,EA,IMP
OSO 1,1962-006A,255,PAY,D,US,1962-03-07,AFETR,1981-10-08,87.42,32.81,147,147,1.7300,,EA,IMP
SAMOS 6,1962-007A,256,PAY,D,US,1962-03-07,AFWTR,1963-06-07,87.58,90.89,155,155,,,EA,IMP
DELTA 1 R/B,1962-006B,257,R/B,D,US,1962-03-07,AFETR,1970-05-03,89.24,32.81,237,237,,,EA,IMP
SAMOS 6 DEB [REFLECTOR],1962-007B,258,DEB,D,US,1962-03-07,AFWTR,1962-03-31,88.93,90.82,243,201,,,EA,IMP
ATLAS AGENA B R/B,1962-007C,259,R/B,D,US,1962-03-07,AFWTR,1962-11-03,88.44,90.87,198,198,,,EA,IMP
COSMOS 1 (SPUTNIK 11),1962-008A,266,PAY,D,CIS,1962-03-16,KYMSC,1962-05-23,89.74,48.99,341,182,,,EA,IMP
SL-7 R/B,1962-008B,267,R/B,D,CIS,1962-03-16,KYMSC,1962-06-18,89.32,49.03,311,172,,,EA,IMP
COSMOS 2 (SPUTNIK 12),1962-009A,269,PAY,D,CIS,1962-04-06,TYMSC,1963-08-23,88.37,48.86,231,157,,,EA,IMP
SL-7 R/B,1962-009B,270,R/B,D,CIS,1962-04-06,TYMSC,1962-10-06,89.99,48.89,379,169,,,EA,IMP
MIDAS 5 (STRONGBACK),1962-010A,271,PAY,,US,1962-04-09,AFWTR,,152.98,86.66,3407,2787,8.2159,,EA,ORB
MIDAS 5 DEB,1962-010B,272,DEB,D,US,1962-04-09,AFWTR,1962-05-04,114.09,86.64,2729,99,,,EA,IMP
MIDAS 5 DEB,1962-010C,273,DEB,,US,1962-04-09,AFWTR,,152.57,86.65,3392,2768,0.3940,,EA,ORB
MIDAS 5 DEB,1962-010D,274,DEB,,US,1962-04-09,AFWTR,,153.29,86.67,3439,2781,0.5010,,EA,ORB
FTV 1154,1962-011A,276,PAY,D,US,1962-04-18,AFWTR,1962-05-28,88.10,73.56,181,180,,,EA,IMP
FTV 1154 DEB,1962-011B,277,DEB,D,US,1962-04-18,AFWTR,1962-04-20,,,,,0.0200,NIE,EA,IMP
FTV 1154 DEB,1962-011C,278,DEB,D,US,1962-04-18,AFWTR,1962-04-21,,,,,,NIE,EA,IMP
FTV 1154 DEB,1962-011D,279,DEB,D,US,1962-04-18,AFWTR,1962-04-21,,,,,,NIE,EA,IMP
RANGER 4,1962-012A,280,PAY,D,US,1962-04-23,AFETR,1962-04-26,,,,,,NIE,MO,IMP
COSMOS 3 (SPUTNIK 13),1962-013A,281,PAY,D,CIS,1962-04-24,KYMSC,1962-10-17,88.96,48.95,253,193,,,EA,IMP
ATLAS AGENA B R/B,1962-012B,282,R/B,,US,1962-04-23,AFETR,,,,,,0.0067,NEA,SU,ORB
SL-7 R/B,1962-013B,283,R/B,D,CIS,1962-04-24,KYMSC,1962-08-05,89.50,48.96,295,205,,,EA,IMP
SL-3 R/B,1962-014B,284,R/B,D,CIS,1962-04-26,TYMSC,1962-06-17,88.28,64.92,190,190,,,EA,IMP
ARIEL 1 (UK-1),1962-015A,285,PAY,D,UK,1962-04-26,AFETR,1976-05-24,88.25,53.76,191,185,,,EA,IMP
SAMOS 7 (FTV 2401),1962-016A,286,PAY,D,US,1962-04-26,AFWTR,1962-04-28,,,,,,NIE,EA,IMP
COSMOS 4 (SPUTNIK 14),1962-014A,287,PAY,D,CIS,1962-04-26,TYMSC,1962-04-29,,,,,,,EA,IMP
DELTA 1 R/B,1962-015B,288,R/B,D,US,1962-04-26,AFETR,1971-04-28,88.46,53.78,202,194,,,EA,IMP
SL-3 DEB,1962-014C,289,DEB,D,CIS,1962-04-26,TYMSC,1962-05-03,,,,,,NIE,EA,IMP
FTV 1125,1962-017A,290,PAY,D,US,1962-04-28,AFWTR,1962-05-26,89.86,73.07,361,174,,,EA,IMP
FTV 1125 DEB,1962-017B,291,DEB,D,US,1962-04-28,AFWTR,1962-05-01,,,,,,NIE,EA,IMP
FTV 1126,1962-018A,292,PAY,D,US,1962-05-15,AFWTR,1963-11-26,88.51,82.29,208,194,,,EA,IMP
FTV 1126 DEB,1962-018B,293,DEB,D,US,1962-05-15,AFWTR,1962-07-03,89.80,82.27,327,202,,,EA,IMP
FTV 1126 DEB,1962-018C,294,DEB,D,US,1962-05-15,AFWTR,1962-07-13,89.95,82.26,278,266,,,EA,IMP
MERCURY ATLAS 7,1962-019A,295,PAY,D,US,1962-05-24,AFETR,1962-05-24,88.60,32.60,250,161,,,EA,IMP
ATLAS D 7 R/B,1962-019B,296,R/B,D,US,1962-05-24,AFETR,1962-05-25,88.80,32.50,292,138,,,EA,IMP
COSMOS 5 (SPUTNIK 15),1962-020A,297,PAY,D,CIS,1962-05-28,KYMSC,1963-05-02,88.64,48.96,271,144,,,EA,IMP
SL-7 R/B,1962-020B,298,R/B,D,CIS,1962-05-28,KYMSC,1962-12-15,91.11,48.93,484,174,,,EA,IMP
FTV 1128,1962-021A,302,PAY,D,US,1962-05-30,AFWTR,1962-06-11,87.90,74.10,171,171,,,EA,IMP
FTV 1128 DEB,1962-021B,303,DEB,D,US,1962-05-30,AFWTR,1962-06-02,,,,,,NIE,EA,IMP
FTV 1127,1962-022A,304,PAY,D,US,1962-06-02,AFWTR,1962-06-28,88.83,74.25,243,189,,,EA,IMP
OSCAR 2 (OSCAR II),1962-022B,305,PAY,D,US,1962-06-02,AFWTR,1962-06-21,88.51,74.27,292,110,,,EA,IMP
FTV 1127 DEB,1962-022C,306,DEB,D,US,1962-06-02,AFWTR,1962-06-06,89.87,74.26,359,177,,,EA,IMP
SAMOS 8 (FTV 2402),1962-023A,307,PAY,D,US,1962-06-17,AFWTR,1962-06-18,88.48,96.30,199,199,,,EA,IMP
FTV 2312,1962-024A,308,PAY,D,US,1962-06-18,AFWTR,1963-10-30,87.80,82.15,170,161,,,EA,IMP
TIROS 5,1962-025A,309,PAY,-,US,1962-06-19,AFETR,,98.58,58.09,820,562,0.7711,,EA,ORB
FTV 2312 DEB,1962-024B,310,DEB,D,US,1962-06-18,AFWTR,1962-07-12,89.51,82.11,250,250,,,EA,IMP
DELTA 1 R/B,1962-025B,311,R/B,D,US,1962-06-19,AFETR,1990-11-28,87.75,58.02,167,158,0.6210,,EA,IMP
DELTA 1 DEB [YO],1962-025C,312,DEB,,US,1962-06-19,AFETR,,98.50,58.25,823,550,0.0431,,EA,ORB
